119304, 3832, 995, 1182, 97, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119344, 3839, 952, 1160, 97, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119384, 3839, 943, 1186, 97, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119424, 3829, 932, 1188, 97, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119468, 3909, 922, 1225, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119513, 3847, 903, 1204, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119557, 3870, 857, 1235, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119602, 3886, 862, 1274, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119646, 3859, 849, 1251, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119691, 3862, 862, 1229, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119735, 3876, 837, 1243, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119780, 3872, 860, 1274, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119824, 3862, 838, 1245, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119869, 3851, 832, 1244, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119902, 3853, 852, 1241, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119935, 3859, 836, 1260, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
119968, 3841, 836, 1258, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120001, 3860, 829, 1270, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120034, 3867, 833, 1239, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120068, 3890, 866, 1236, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120101, 3871, 876, 1231, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120134, 3867, 893, 1230, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120167, 3892, 870, 1240, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120200, 3864, 843, 1227, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120234, 3869, 853, 1245, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120282, 3854, 865, 1218, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120330, 3872, 836, 1285, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120379, 3892, 820, 1254, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120427, 3880, 858, 1265, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120476, 3871, 827, 1248, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120524, 3859, 846, 1223, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120572, 3869, 844, 1252, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120621, 3851, 841, 1235, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120669, 3863, 831, 1221, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120718, 3877, 833, 1260, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120747, 3865, 844, 1262, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120777, 3871, 839, 1240, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120807, 3864, 841, 1205, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120836, 3853, 803, 1189, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120866, 3889, 799, 1266, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120896, 3883, 822, 1273, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120925, 3848, 835, 1264, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120955, 3871, 830, 1217, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
120985, 3876, 823, 1212, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121015, 3885, 846, 1215, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121051, 3897, 850, 1212, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121087, 3878, 756, 1227, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121123, 3884, 756, 1243, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121160, 3881, 757, 1253, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121196, 3886, 749, 1206, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121232, 3888, 804, 1257, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121268, 3892, 800, 1238, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121305, 3862, 854, 1208, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121341, 3899, 838, 1231, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121377, 3929, 694, 1206, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121414, 3867, 707, 1225, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121461, 3893, 715, 1254, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121508, 3899, 729, 1231, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121555, 3906, 790, 1200, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121602, 3873, 897, 1176, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121649, 3911, 832, 1147, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
121696, 3897, 880, 1186, 99, 2e87f477-ce38-45ba-bb2f-da5f881bfc0e, , sujud, sujud, , 
