357867, 2743, 827, 3013, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
357907, 2739, 890, 3015, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
357948, 2745, 940, 2987, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
357988, 2821, 934, 2962, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358029, 2766, 1007, 2947, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358070, 2759, 960, 2934, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358106, 2748, 1013, 2914, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358142, 2781, 950, 2919, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358179, 2787, 947, 2951, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358215, 2741, 920, 2985, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358252, 2750, 891, 2978, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358288, 2765, 855, 3006, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358324, 2748, 825, 3008, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358361, 2746, 851, 2987, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358397, 2730, 848, 3039, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358434, 2692, 911, 3046, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358469, 2717, 825, 3034, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358504, 2728, 821, 3050, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358540, 2698, 874, 3027, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358575, 2722, 857, 3032, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358611, 2718, 906, 3024, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358646, 2727, 926, 3006, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358682, 2713, 945, 2996, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358717, 2723, 913, 3022, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358753, 2720, 947, 2998, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358788, 2688, 969, 3004, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358824, 2718, 888, 3002, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358868, 2714, 944, 3002, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358913, 2733, 964, 3008, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
358957, 2725, 941, 3010, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359002, 2709, 923, 3010, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359046, 2706, 879, 3032, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359091, 2710, 925, 3001, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359135, 2707, 910, 3014, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359180, 2728, 880, 3019, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359224, 2720, 896, 3024, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359269, 2725, 926, 3012, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359303, 2726, 904, 3006, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
359338, 2710, 922, 3002, 79, d2345380-89b6-40d4-9ff5-8f5fdea61dab, , sujud, sujud, , 
