161674, 2704, 2631, 1707, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
161709, 2682, 2637, 1636, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
161744, 2735, 2650, 1653, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
161779, 2702, 2635, 1649, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
161814, 2746, 2653, 1666, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
161849, 2707, 2691, 1633, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
161884, 2713, 2632, 1645, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
161919, 2710, 2656, 1649, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
161959, 2718, 2659, 1691, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162000, 2698, 2633, 1677, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162040, 2698, 2650, 1698, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162081, 2708, 2650, 1680, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162122, 2693, 2623, 1675, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162162, 2735, 2640, 1668, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162203, 2707, 2664, 1654, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162243, 2702, 2671, 1640, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162284, 2708, 2670, 1636, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162325, 2714, 2674, 1639, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162360, 2717, 2683, 1628, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162395, 2705, 2672, 1618, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162431, 2711, 2664, 1640, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162466, 2696, 2647, 1607, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162501, 2708, 2669, 1636, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162537, 2683, 2667, 1619, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162572, 2709, 2682, 1645, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162607, 2702, 2639, 1628, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162643, 2721, 2671, 1628, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162678, 2706, 2666, 1602, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162714, 2728, 2659, 1618, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162753, 2711, 2683, 1608, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162792, 2716, 2661, 1616, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162831, 2698, 2705, 1580, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162870, 2706, 2695, 1571, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162909, 2734, 2696, 1575, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162948, 2727, 2713, 1553, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
162987, 2753, 2700, 1548, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
163026, 2742, 2700, 1529, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
163065, 2761, 2653, 1487, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
163105, 2729, 2744, 1529, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
163147, 2769, 2762, 1529, 99, 48146a59-5909-4f43-9816-4e184c9e9cf6, , sujud, sujud, , 
