169559, 2671, 2877, 1298, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169595, 2691, 2893, 1281, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169630, 2699, 2900, 1268, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169666, 2700, 2899, 1273, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169702, 2642, 2876, 1262, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169737, 2668, 2861, 1289, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169773, 2694, 2862, 1306, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169809, 2710, 2844, 1327, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169844, 2694, 2842, 1325, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169880, 2676, 2850, 1365, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169916, 2685, 2849, 1323, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169957, 2697, 2845, 1364, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
169999, 2692, 2832, 1359, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170041, 2685, 2828, 1339, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170083, 2719, 2810, 1333, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170125, 2714, 2824, 1338, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170167, 2708, 2801, 1359, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170209, 2717, 2806, 1331, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170251, 2720, 2824, 1312, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170293, 2718, 2838, 1307, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170335, 2689, 2843, 1314, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
170372, 2722, 2832, 1321, 98, eef11d6a-0fdb-4ab6-92b5-6ab152ee46ef, , sujud, sujud, , 
