98428, 3442, 1901, 1219, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98467, 3460, 1880, 1180, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98507, 3469, 1934, 1138, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98548, 3469, 1946, 1127, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98588, 3481, 1929, 1093, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98629, 3515, 1898, 1111, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98670, 3536, 1894, 1102, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98710, 3532, 1897, 1073, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98751, 3524, 1928, 1080, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98791, 3521, 1897, 1001, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98832, 3534, 1917, 1013, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98873, 3561, 1891, 994, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98911, 3557, 1905, 977, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98950, 3528, 1914, 962, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
98989, 3553, 1901, 966, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99027, 3571, 1898, 947, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99066, 3574, 1911, 941, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99105, 3572, 1894, 942, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99144, 3577, 1870, 934, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99182, 3595, 1912, 946, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99221, 3549, 1907, 930, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99260, 3553, 1893, 908, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99299, 3574, 1897, 913, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99342, 3558, 1863, 926, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99386, 3568, 1908, 912, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99429, 3570, 1874, 909, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99473, 3563, 1919, 913, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99517, 3540, 1912, 918, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99560, 3578, 1884, 929, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99604, 3569, 1901, 910, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99647, 3553, 1885, 908, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99691, 3597, 1919, 924, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99735, 3568, 1911, 889, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99767, 3570, 1941, 918, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99800, 3594, 1795, 855, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99833, 3546, 1944, 906, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99866, 3558, 1965, 916, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
99899, 3573, 1996, 986, 75, 9c5532b3-760f-4836-99b6-8818d84f6ab4, , sujud, sujud, , 
