149367, 2765, 1401, 2795, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149407, 2744, 1438, 2774, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149446, 2770, 1358, 2764, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149486, 2738, 1414, 2759, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149526, 2754, 1402, 2751, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149565, 2739, 1440, 2769, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149605, 2751, 1432, 2750, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149645, 2787, 1430, 2747, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149685, 2765, 1417, 2755, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149725, 2793, 1428, 2743, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149765, 2762, 1425, 2736, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149805, 2776, 1417, 2733, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149846, 2769, 1424, 2722, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149886, 2768, 1418, 2724, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149926, 2773, 1409, 2739, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
149966, 2767, 1428, 2731, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150007, 2785, 1436, 2740, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150047, 2795, 1399, 2741, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150087, 2775, 1397, 2767, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150128, 2775, 1400, 2766, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150165, 2754, 1414, 2751, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150203, 2776, 1418, 2773, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150240, 2749, 1401, 2774, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150278, 2762, 1404, 2782, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150316, 2769, 1385, 2791, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150353, 2755, 1413, 2781, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150391, 2772, 1373, 2781, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150428, 2757, 1402, 2771, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150466, 2754, 1426, 2758, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150504, 2766, 1370, 2773, 82, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150539, 2762, 1368, 2782, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150574, 2775, 1370, 2779, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150609, 2740, 1417, 2771, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150645, 2763, 1398, 2788, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150680, 2742, 1386, 2785, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150715, 2761, 1388, 2784, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150750, 2737, 1405, 2763, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
150786, 2756, 1395, 2790, 81, 50c9a962-a90e-4367-ad65-af48c862119e, , sujud, sujud, , 
