103462, 2754, 1259, 2832, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103497, 2820, 1242, 2797, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103533, 2736, 1246, 2861, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103571, 2753, 1243, 2857, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103610, 2760, 1262, 2836, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103648, 2732, 1293, 2855, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103687, 2736, 1233, 2870, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103726, 2690, 1267, 2891, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103764, 2709, 1318, 2891, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103803, 2666, 1312, 2888, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103841, 2700, 1319, 2891, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103880, 2694, 1293, 2875, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103919, 2691, 1269, 2864, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
103961, 2743, 1243, 2894, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104003, 2694, 1241, 2909, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104045, 2671, 1243, 2920, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104087, 2671, 1286, 2907, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104129, 2732, 1249, 2897, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104171, 2703, 1272, 2894, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104213, 2717, 1297, 2890, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104255, 2701, 1262, 2893, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104297, 2687, 1294, 2889, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104340, 2738, 1259, 2880, 78, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104375, 2736, 1290, 2872, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104410, 2727, 1241, 2875, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104446, 2727, 1270, 2872, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104481, 2695, 1275, 2890, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104517, 2705, 1268, 2888, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104552, 2725, 1266, 2890, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104588, 2718, 1270, 2898, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104623, 2720, 1265, 2886, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104659, 2744, 1262, 2870, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104694, 2707, 1265, 2902, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104730, 2689, 1274, 2894, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104770, 2730, 1274, 2884, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104811, 2731, 1251, 2885, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104851, 2706, 1254, 2869, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104892, 2706, 1282, 2890, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104932, 2678, 1259, 2901, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
104973, 2709, 1271, 2898, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105013, 2715, 1293, 2872, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105054, 2709, 1284, 2880, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105094, 2723, 1268, 2872, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105135, 2702, 1271, 2880, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
105178, 2683, 1269, 2885, 80, 5c66eba8-0d48-482a-a593-6b3815a4f7d4, , sujud, sujud, , 
