69407, 3342, 1813, 1611, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69442, 3368, 1900, 1549, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69478, 3376, 1861, 1495, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69514, 3378, 1915, 1469, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69550, 3366, 1909, 1442, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69586, 3436, 1868, 1421, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69621, 3441, 1861, 1386, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69657, 3453, 1788, 1413, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69693, 3463, 1829, 1404, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69729, 3488, 1795, 1376, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69765, 3483, 1794, 1331, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69801, 3492, 1805, 1314, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69841, 3486, 1808, 1298, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69881, 3493, 1833, 1305, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69921, 3482, 1836, 1301, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
69961, 3484, 1820, 1331, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70001, 3500, 1795, 1325, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70041, 3478, 1777, 1326, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70081, 3489, 1771, 1322, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70121, 3500, 1764, 1325, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70161, 3508, 1800, 1321, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70202, 3496, 1784, 1304, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70239, 3494, 1810, 1303, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70277, 3499, 1813, 1322, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70315, 3500, 1793, 1304, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70352, 3484, 1807, 1314, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70390, 3494, 1814, 1305, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70428, 3509, 1755, 1294, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70466, 3465, 1872, 1301, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70503, 3471, 1963, 1229, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70541, 3535, 1818, 1183, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70579, 3522, 1699, 1417, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70617, 3469, 1722, 1519, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70657, 3497, 1595, 1541, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70697, 3452, 1687, 1569, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70737, 3435, 1774, 1490, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70777, 3484, 1764, 1454, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
70818, 3485, 1729, 1450, 59, 9923fc51-3ef9-4260-bf09-87939bdc3a41, , sujud, sujud, , 
