91266, 2285, 1686, 3045, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91305, 2239, 1752, 3021, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91344, 2240, 1742, 3003, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91383, 2295, 1770, 2988, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91420, 2320, 1713, 2976, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91458, 2332, 1730, 2974, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91496, 2370, 1710, 2968, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91534, 2360, 1681, 2960, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91572, 2362, 1706, 2953, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91609, 2373, 1687, 2933, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91647, 2418, 1674, 2926, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91685, 2418, 1670, 2923, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91723, 2414, 1693, 2913, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91761, 2418, 1684, 2910, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91799, 2424, 1704, 2906, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91836, 2455, 1690, 2901, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91874, 2443, 1715, 2881, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91912, 2468, 1694, 2879, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91950, 2445, 1690, 2879, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
91988, 2458, 1690, 2884, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
92026, 2448, 1669, 2896, 94, be127f25-65bf-4420-a139-9b31e583bd9f, , sujud, sujud, , 
