222306, 2909, 2404, 1727, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222345, 2910, 2383, 1727, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222384, 2908, 2349, 1748, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222423, 2915, 2368, 1728, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222462, 2954, 2336, 1732, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222500, 2913, 2333, 1702, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222539, 2921, 2395, 1703, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222578, 2879, 2432, 1724, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222617, 2865, 2394, 1732, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222656, 2889, 2399, 1717, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222691, 2897, 2408, 1749, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222726, 2912, 2366, 1716, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222762, 2935, 2347, 1726, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222797, 2913, 2367, 1714, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222832, 2924, 2397, 1719, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222868, 2943, 2368, 1701, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222903, 2922, 2393, 1713, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222938, 2926, 2366, 1709, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
222974, 2916, 2399, 1703, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223009, 2963, 2360, 1695, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223045, 2901, 2361, 1716, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223090, 2931, 2376, 1727, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223135, 2944, 2368, 1720, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223180, 2945, 2358, 1711, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223225, 2930, 2388, 1709, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223270, 2946, 2379, 1727, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223315, 2924, 2368, 1709, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223360, 2952, 2341, 1697, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223405, 2940, 2391, 1708, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223450, 2946, 2363, 1682, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223495, 2929, 2380, 1688, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223531, 2952, 2364, 1693, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223567, 2940, 2394, 1680, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223603, 2956, 2379, 1669, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223639, 2937, 2357, 1684, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223675, 2931, 2403, 1688, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223711, 2943, 2392, 1690, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223747, 2912, 2382, 1707, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223783, 2933, 2361, 1690, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223819, 2967, 2386, 1673, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223856, 2918, 2364, 1704, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223892, 2925, 2365, 1673, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223929, 2950, 2381, 1680, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
223966, 2924, 2375, 1701, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224002, 2958, 2391, 1708, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224039, 2924, 2366, 1691, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224076, 2953, 2365, 1702, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224113, 2935, 2371, 1684, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224149, 2946, 2372, 1688, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224186, 2904, 2395, 1686, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224223, 2936, 2389, 1689, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224260, 2960, 2393, 1673, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224299, 2952, 2383, 1643, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224338, 2980, 2355, 1681, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224377, 2968, 2380, 1660, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224417, 2975, 2383, 1673, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224456, 2960, 2370, 1678, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224495, 2953, 2364, 1693, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224535, 2977, 2358, 1699, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224574, 2954, 2366, 1709, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224613, 2937, 2355, 1687, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224653, 2947, 2352, 1688, 103, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224689, 2941, 2372, 1693, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224725, 2940, 2344, 1681, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224762, 2952, 2367, 1689, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224798, 2939, 2380, 1710, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224835, 2983, 2379, 1675, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224871, 2964, 2356, 1682, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224908, 2969, 2327, 1662, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224944, 2951, 2353, 1678, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
224981, 2986, 2359, 1688, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225017, 2950, 2349, 1663, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225054, 2966, 2350, 1675, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225096, 2956, 2355, 1678, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225138, 2953, 2369, 1666, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225180, 2953, 2364, 1661, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225222, 2954, 2351, 1684, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225264, 2956, 2386, 1671, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225306, 2959, 2393, 1666, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225348, 2950, 2364, 1664, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225390, 2952, 2369, 1678, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225432, 2963, 2370, 1654, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225475, 2957, 2362, 1665, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225512, 2959, 2359, 1655, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225550, 2959, 2383, 1668, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225588, 2961, 2362, 1670, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225625, 2972, 2356, 1658, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225663, 2954, 2361, 1657, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225701, 2967, 2371, 1681, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225738, 2958, 2377, 1681, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225776, 2971, 2362, 1682, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225814, 2972, 2371, 1678, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225852, 2969, 2376, 1661, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225895, 2951, 2361, 1654, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225939, 2980, 2356, 1636, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
225983, 2961, 2383, 1626, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226027, 2978, 2381, 1635, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226071, 2967, 2406, 1627, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226115, 2975, 2407, 1632, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226159, 2967, 2369, 1630, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226203, 2965, 2378, 1636, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
226247, 2986, 2388, 1611, 102, c5980dd9-1557-44bd-a42a-6f40d193908c, , sujud, sujud, , 
