361317, 3620, 1145, 1727, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361352, 3598, 1058, 1745, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361388, 3606, 1008, 1783, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361423, 3619, 1014, 1752, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361458, 3626, 992, 1770, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361493, 3655, 950, 1764, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361529, 3658, 1002, 1731, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361564, 3637, 964, 1741, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361599, 3650, 1002, 1718, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361635, 3639, 1006, 1737, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361675, 3661, 1009, 1735, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361716, 3670, 989, 1722, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361756, 3653, 971, 1699, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361797, 3665, 940, 1682, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361837, 3651, 956, 1704, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361878, 3660, 961, 1717, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361918, 3650, 937, 1721, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361959, 3660, 960, 1680, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
361999, 3675, 920, 1703, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362040, 3697, 932, 1700, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362076, 3677, 959, 1672, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362112, 3694, 919, 1692, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362148, 3675, 902, 1704, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362184, 3675, 926, 1681, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362220, 3669, 910, 1668, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362256, 3678, 907, 1721, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362292, 3683, 904, 1655, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362328, 3661, 927, 1690, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362364, 3658, 935, 1718, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362400, 3675, 933, 1695, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362436, 3663, 909, 1723, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362476, 3677, 896, 1713, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362516, 3679, 937, 1711, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362556, 3682, 912, 1696, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362596, 3666, 928, 1718, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362636, 3666, 930, 1687, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362676, 3660, 960, 1669, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362716, 3682, 947, 1686, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362756, 3673, 911, 1705, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362796, 3696, 925, 1721, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362837, 3683, 901, 1730, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362879, 3672, 923, 1727, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362922, 3666, 897, 1723, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
362964, 3673, 905, 1706, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363007, 3668, 945, 1719, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363050, 3681, 917, 1710, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363092, 3661, 930, 1706, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363135, 3662, 924, 1716, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363177, 3668, 915, 1725, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363220, 3681, 909, 1723, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
363263, 3675, 937, 1729, 75, bea2a259-3b53-43c0-a660-9c60e1889d91, , sujud, sujud, , 
