110752, 3185, 2539, 624, 98, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
110791, 3159, 2560, 676, 98, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
110830, 3107, 2514, 712, 98, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
110868, 3200, 2522, 839, 98, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
110907, 3149, 2589, 794, 98, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
110946, 3080, 2558, 766, 98, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
110984, 3172, 2489, 902, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111022, 3146, 2438, 913, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111061, 3155, 2436, 952, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111099, 3212, 2492, 932, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111137, 3169, 2421, 961, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111176, 3217, 2370, 912, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111214, 3229, 2438, 915, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111253, 3225, 2428, 909, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111291, 3241, 2433, 887, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111329, 3232, 2420, 897, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111368, 3264, 2451, 899, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111406, 3227, 2438, 889, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111445, 3244, 2393, 884, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111483, 3214, 2450, 887, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111521, 3249, 2459, 919, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111559, 3236, 2422, 901, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111597, 3223, 2455, 924, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111636, 3266, 2407, 909, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111674, 3241, 2376, 902, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111712, 3234, 2424, 906, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111750, 3221, 2397, 902, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111789, 3227, 2418, 894, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111827, 3236, 2418, 893, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111865, 3252, 2415, 908, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111903, 3221, 2441, 865, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111942, 3222, 2431, 885, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
111979, 3215, 2376, 867, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112017, 3204, 2437, 892, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112055, 3241, 2432, 897, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112092, 3205, 2455, 899, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112130, 3220, 2402, 859, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112168, 3209, 2446, 874, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112205, 3190, 2477, 880, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112243, 3211, 2451, 859, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112281, 3209, 2459, 866, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112318, 3241, 2457, 884, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112356, 3242, 2448, 870, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112394, 3251, 2425, 890, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112432, 3231, 2428, 869, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112473, 3247, 2440, 893, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112515, 3237, 2472, 885, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112556, 3229, 2457, 877, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112598, 3235, 2464, 872, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112640, 3222, 2451, 883, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112681, 3224, 2428, 886, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112723, 3234, 2440, 877, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112764, 3236, 2424, 899, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112806, 3233, 2429, 883, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112848, 3219, 2408, 867, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112889, 3213, 2451, 835, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112931, 3228, 2426, 859, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
112973, 3208, 2423, 876, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113015, 3202, 2452, 887, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113058, 3191, 2500, 897, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113100, 3190, 2489, 902, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113143, 3191, 2493, 887, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113185, 3156, 2485, 882, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113228, 3192, 2510, 907, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113271, 3148, 2524, 892, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113313, 3105, 2581, 897, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113356, 3109, 2595, 924, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113398, 3055, 2588, 943, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
113441, 3035, 2594, 963, 97, 97ad384b-8928-45ee-8d01-fa88526d3189, , sujud, sujud, , 
