233827, 3013, 1425, 2481, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
233872, 3024, 1383, 2494, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
233917, 3002, 1409, 2528, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
233962, 3014, 1379, 2557, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234007, 2988, 1383, 2570, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234052, 2967, 1411, 2539, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234097, 2905, 1447, 2563, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234142, 2921, 1435, 2579, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234174, 2921, 1434, 2572, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234207, 2920, 1451, 2606, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234240, 2874, 1493, 2578, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234273, 2898, 1467, 2585, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234306, 2882, 1471, 2597, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234339, 2888, 1480, 2618, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234372, 2881, 1495, 2619, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234405, 2863, 1425, 2637, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234438, 2821, 1486, 2604, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234471, 2833, 1513, 2627, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234504, 2832, 1506, 2626, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234542, 2863, 1503, 2627, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234581, 2847, 1531, 2629, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234620, 2858, 1512, 2622, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234659, 2866, 1465, 2620, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234698, 2866, 1503, 2609, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234737, 2877, 1458, 2594, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234776, 2868, 1476, 2619, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234815, 2874, 1453, 2623, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234854, 2864, 1463, 2614, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234893, 2876, 1456, 2614, 80, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234931, 2896, 1485, 2620, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
234970, 2863, 1479, 2606, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235008, 2882, 1461, 2632, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235047, 2846, 1495, 2607, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235086, 2876, 1507, 2605, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235124, 2858, 1495, 2605, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235163, 2876, 1484, 2609, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235202, 2878, 1489, 2602, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235240, 2856, 1507, 2597, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235279, 2881, 1507, 2608, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235318, 2854, 1501, 2589, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235355, 2869, 1513, 2598, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235392, 2870, 1520, 2599, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235429, 2865, 1508, 2603, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235466, 2856, 1510, 2625, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235503, 2853, 1519, 2623, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235540, 2856, 1522, 2619, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235577, 2831, 1501, 2618, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235614, 2849, 1530, 2623, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235651, 2843, 1513, 2604, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235688, 2835, 1495, 2620, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235728, 2851, 1517, 2613, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235768, 2838, 1514, 2610, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235809, 2854, 1486, 2625, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235849, 2851, 1509, 2618, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235890, 2842, 1508, 2620, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235930, 2844, 1504, 2624, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
235970, 2860, 1508, 2613, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236011, 2877, 1502, 2627, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236051, 2844, 1500, 2624, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236092, 2860, 1516, 2625, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236129, 2860, 1495, 2608, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236166, 2842, 1522, 2610, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236203, 2858, 1502, 2625, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236240, 2852, 1484, 2629, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236277, 2856, 1512, 2617, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236314, 2841, 1517, 2611, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236351, 2855, 1512, 2618, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236388, 2845, 1532, 2617, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236425, 2851, 1532, 2610, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236462, 2844, 1524, 2626, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236500, 2854, 1519, 2619, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236538, 2813, 1526, 2629, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236577, 2832, 1528, 2617, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236615, 2834, 1508, 2628, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236654, 2843, 1499, 2626, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
236693, 2845, 1488, 2613, 79, 25abc7d2-ed78-4319-b57a-24dddf9cfca1, , sujud, sujud, , 
