82882, 2645, 2734, 1612, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
82921, 2659, 2750, 1582, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
82959, 2629, 2782, 1590, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
82997, 2640, 2750, 1637, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83036, 2619, 2746, 1665, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83074, 2618, 2723, 1676, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83112, 2613, 2721, 1687, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83151, 2617, 2735, 1682, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83187, 2640, 2713, 1700, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83224, 2588, 2745, 1661, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83260, 2629, 2757, 1675, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83297, 2599, 2759, 1673, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83334, 2632, 2728, 1676, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83370, 2596, 2742, 1687, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83407, 2604, 2736, 1682, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83444, 2588, 2730, 1684, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83480, 2577, 2738, 1708, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83517, 2602, 2745, 1689, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83554, 2605, 2737, 1692, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83595, 2619, 2722, 1702, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83637, 2611, 2729, 1682, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83679, 2621, 2762, 1677, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83721, 2615, 2754, 1656, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83763, 2617, 2743, 1667, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83804, 2607, 2747, 1673, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83846, 2612, 2725, 1686, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83888, 2628, 2763, 1678, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83930, 2600, 2738, 1686, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
83972, 2600, 2740, 1683, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84019, 2601, 2748, 1679, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84067, 2581, 2747, 1682, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84115, 2601, 2746, 1693, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84162, 2614, 2766, 1662, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84210, 2607, 2754, 1692, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84258, 2602, 2721, 1686, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84305, 2611, 2738, 1684, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84353, 2597, 2737, 1706, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84401, 2607, 2763, 1711, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84449, 2605, 2747, 1693, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84476, 2589, 2736, 1698, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84504, 2620, 2743, 1697, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84532, 2605, 2741, 1715, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84559, 2590, 2730, 1718, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84587, 2608, 2747, 1703, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84615, 2630, 2723, 1708, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84643, 2602, 2742, 1710, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84670, 2617, 2693, 1704, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
84698, 2602, 2758, 1744, 64, 20f4f37e-4269-456b-9117-a8df1cb4eb0e, , sujud, sujud, , 
