76459, 3061, 1839, 2084, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76497, 3065, 1864, 2101, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76534, 3118, 1794, 1987, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76572, 3160, 1850, 1958, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76610, 3133, 1985, 1903, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76647, 3124, 1972, 1848, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76685, 3174, 1954, 1765, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76722, 3138, 2110, 1792, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76760, 3131, 2124, 1771, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76798, 3102, 2145, 1734, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76838, 3181, 2071, 1811, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76879, 3213, 1990, 1770, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76920, 3201, 1852, 1890, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
76960, 3189, 1964, 1991, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77001, 3135, 1823, 1933, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77042, 3276, 1573, 1899, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77083, 3278, 1465, 1996, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77123, 3267, 1520, 2000, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77164, 3309, 1470, 2015, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77205, 3272, 1609, 1955, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77246, 3312, 1527, 1973, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77281, 3219, 1783, 1872, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77316, 3293, 1669, 1950, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77351, 3241, 1739, 1857, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77386, 3311, 1670, 1927, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77421, 3259, 1753, 1820, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77456, 3249, 1821, 1881, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77491, 3303, 1751, 1881, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77526, 3259, 1767, 1811, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77561, 3255, 1771, 1880, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
77597, 3225, 1840, 1852, 65, 92ce66d1-ccb4-4cc2-b599-d6e6312f0896, , sujud, sujud, , 
