206180, 2950, 1589, 2519, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206219, 3000, 1402, 2513, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206258, 3024, 1455, 2432, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206297, 3079, 1355, 2411, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206336, 3180, 1312, 2384, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206375, 3134, 1374, 2341, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206414, 3163, 1370, 2355, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206453, 3157, 1409, 2300, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206492, 3246, 1382, 2247, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206538, 3215, 1352, 2212, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206584, 3242, 1288, 2251, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206630, 3359, 1206, 2192, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206676, 3359, 1263, 2106, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206722, 3380, 1245, 2044, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206768, 3405, 1256, 2028, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206814, 3457, 1287, 1953, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206860, 3453, 1267, 1904, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206906, 3457, 1285, 1912, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206953, 3475, 1253, 1887, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
206983, 3489, 1275, 1865, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207013, 3453, 1285, 1887, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207044, 3435, 1326, 1839, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207074, 3480, 1286, 1862, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207105, 3463, 1320, 1839, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207135, 3501, 1343, 1872, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207166, 3471, 1301, 1848, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207196, 3477, 1325, 1858, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207227, 3499, 1348, 1853, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207257, 3477, 1332, 1831, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207288, 3465, 1354, 1829, 83, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207329, 3446, 1323, 1810, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
207371, 3510, 1318, 1811, 82, 86c2d7fc-74b8-4fad-933e-c90050e5d45c, , sujud, sujud, , 
