133510, 2515, 1221, 3072, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133545, 2586, 1227, 3017, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133580, 2536, 1289, 3038, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133614, 2542, 1260, 3024, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133649, 2567, 1281, 3039, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133684, 2581, 1322, 2981, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133718, 2587, 1289, 2995, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133753, 2595, 1281, 2983, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133788, 2577, 1306, 3002, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133825, 2594, 1254, 2919, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133863, 2607, 1326, 2976, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133901, 2599, 1295, 2961, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133938, 2649, 1368, 2878, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
133976, 2623, 1349, 2932, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134014, 2685, 1341, 2891, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134051, 2676, 1348, 2860, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134089, 2651, 1367, 2897, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134127, 2639, 1381, 2899, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134165, 2661, 1419, 2878, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134202, 2655, 1378, 2863, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134240, 2662, 1432, 2856, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134277, 2681, 1429, 2851, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134315, 2666, 1409, 2825, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134352, 2702, 1426, 2837, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134390, 2701, 1454, 2799, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134427, 2682, 1440, 2807, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134465, 2716, 1431, 2795, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134502, 2703, 1468, 2770, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134540, 2722, 1455, 2788, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134578, 2750, 1466, 2763, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134616, 2718, 1469, 2745, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134655, 2759, 1474, 2735, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134694, 2743, 1484, 2734, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134733, 2751, 1450, 2724, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134772, 2787, 1476, 2707, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134811, 2777, 1455, 2722, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134850, 2779, 1461, 2714, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134889, 2803, 1480, 2699, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134928, 2784, 1460, 2717, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
134967, 2823, 1466, 2674, 97, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135012, 2806, 1499, 2696, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135058, 2786, 1454, 2680, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135104, 2785, 1452, 2689, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135150, 2811, 1481, 2699, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135196, 2803, 1466, 2675, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135241, 2805, 1459, 2687, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135287, 2808, 1442, 2700, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135333, 2784, 1460, 2689, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135379, 2815, 1463, 2686, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135425, 2789, 1454, 2688, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135457, 2804, 1463, 2693, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135489, 2813, 1464, 2692, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135521, 2792, 1459, 2701, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135553, 2805, 1455, 2682, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135585, 2796, 1448, 2692, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135617, 2815, 1454, 2695, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135649, 2801, 1438, 2698, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135681, 2788, 1458, 2696, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135713, 2785, 1440, 2683, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135745, 2800, 1461, 2679, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135778, 2785, 1447, 2697, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135817, 2739, 1495, 2686, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
135857, 2831, 1467, 2716, 99, 0b0d1c3b-257a-49e8-8b92-19bb2abd25a6, , sujud, sujud, , 
