110463, 2714, 2099, 2353, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110502, 2689, 2109, 2350, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110541, 2660, 2106, 2375, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110581, 2667, 2145, 2376, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110620, 2628, 2167, 2375, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110659, 2600, 2178, 2371, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110698, 2610, 2207, 2378, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110737, 2544, 2208, 2386, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110777, 2563, 2201, 2409, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110812, 2581, 2200, 2402, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110848, 2579, 2224, 2403, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110884, 2563, 2168, 2411, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110920, 2573, 2220, 2396, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110956, 2534, 2212, 2390, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
110991, 2546, 2167, 2414, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111027, 2595, 2167, 2420, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111063, 2567, 2176, 2436, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111099, 2596, 2181, 2417, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111135, 2532, 2206, 2427, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111171, 2537, 2180, 2444, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111212, 2565, 2226, 2437, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111254, 2559, 2171, 2536, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111296, 2479, 2463, 2249, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111337, 2517, 2185, 2402, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111379, 2497, 2220, 2415, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111421, 2501, 2244, 2386, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
111462, 2532, 2220, 2438, 77, 9ad0f72b-3bcb-465d-8dc1-273cdfe54d6a, , sujud, sujud, , 
