64156, 3189, 1849, 1931, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64199, 3211, 1804, 1907, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64242, 3213, 1828, 1865, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64276, 3281, 1758, 1854, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64310, 3261, 1778, 1821, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64344, 3297, 1740, 1808, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64378, 3286, 1783, 1818, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64412, 3302, 1791, 1799, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64447, 3301, 1765, 1800, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64481, 3292, 1809, 1778, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64515, 3281, 1768, 1782, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64549, 3291, 1761, 1785, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64583, 3323, 1775, 1766, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64618, 3318, 1752, 1741, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64658, 3310, 1769, 1756, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64698, 3308, 1791, 1744, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64738, 3305, 1790, 1748, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64778, 3304, 1797, 1748, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64818, 3280, 1785, 1745, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64858, 3298, 1805, 1734, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64898, 3279, 1799, 1730, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64938, 3322, 1792, 1755, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
64978, 3310, 1806, 1731, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
65018, 3343, 1793, 1743, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
65058, 3313, 1811, 1708, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
65098, 3319, 1788, 1714, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
65139, 3294, 1838, 1707, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
65179, 3330, 1794, 1706, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
65220, 3279, 1859, 1693, 59, b1354606-e63e-4405-9296-8ee51cf09796, , sujud, sujud, , 
