148858, 2695, 2426, 1986, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
148899, 2726, 2444, 1949, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
148940, 2754, 2420, 1932, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
148980, 2817, 2372, 1889, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149021, 2887, 2371, 1883, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149062, 2837, 2393, 1832, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149102, 2869, 2343, 1831, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149143, 2834, 2348, 1891, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149184, 2884, 2363, 1727, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149225, 2960, 2325, 1695, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149261, 2993, 2339, 1675, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149298, 2997, 2359, 1605, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149334, 2993, 2373, 1575, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149371, 3012, 2367, 1539, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149407, 3022, 2395, 1572, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149444, 2991, 2416, 1560, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149480, 3035, 2383, 1535, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149517, 3037, 2391, 1523, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149553, 3073, 2332, 1506, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149590, 3093, 2288, 1529, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149627, 3091, 2333, 1505, 76, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149672, 3091, 2329, 1492, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149717, 3136, 2285, 1494, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149762, 3146, 2237, 1463, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149807, 3149, 2287, 1457, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149853, 3162, 2259, 1455, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149898, 3187, 2284, 1399, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149943, 3180, 2263, 1386, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
149988, 3166, 2268, 1384, 75, 975422be-052e-4258-83ec-95ebb4064af3, , sujud, sujud, , 
