46351, 2418, 2072, 2653, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46394, 2367, 2104, 2683, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46438, 2327, 2128, 2686, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46470, 2332, 2137, 2673, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46502, 2335, 2129, 2691, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46534, 2318, 2169, 2687, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46567, 2328, 2137, 2690, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46599, 2320, 2161, 2679, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46631, 2332, 2122, 2691, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46663, 2330, 2149, 2678, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46696, 2327, 2132, 2691, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46728, 2286, 2181, 2681, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46760, 2305, 2150, 2694, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46793, 2273, 2219, 2650, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46837, 2284, 2168, 2715, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46882, 2275, 2188, 2701, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46927, 2273, 2171, 2687, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
46972, 2279, 2185, 2712, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47017, 2259, 2135, 2771, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47062, 2262, 1913, 2870, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47107, 2309, 2169, 2810, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47152, 2306, 2132, 2773, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47197, 2302, 2066, 2816, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47242, 2307, 2020, 2860, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47276, 2270, 2058, 2784, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47310, 2264, 2072, 2772, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47345, 2281, 2090, 2765, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47379, 2271, 2086, 2768, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47414, 2261, 2054, 2783, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47448, 2288, 2084, 2743, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47482, 2266, 2106, 2741, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47517, 2256, 2099, 2749, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47551, 2276, 2089, 2741, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47586, 2272, 2157, 2760, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47623, 2301, 2091, 2763, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47660, 2291, 2172, 2720, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47697, 2269, 2133, 2741, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47734, 2293, 2124, 2738, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47771, 2272, 2144, 2734, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47808, 2271, 2150, 2744, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47845, 2251, 2148, 2729, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47882, 2272, 2140, 2737, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47919, 2279, 2173, 2726, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47956, 2255, 2134, 2748, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
47993, 2265, 2157, 2717, 105, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48032, 2266, 2134, 2733, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48072, 2265, 2181, 2722, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48111, 2262, 2149, 2746, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48151, 2243, 2152, 2740, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48191, 2286, 2149, 2724, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48230, 2266, 2118, 2722, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48270, 2268, 2152, 2728, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48309, 2266, 2159, 2714, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48349, 2256, 2153, 2732, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48389, 2257, 2176, 2749, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48426, 2270, 2160, 2718, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48464, 2264, 2133, 2732, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48501, 2250, 2185, 2706, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48539, 2254, 2164, 2715, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48576, 2275, 2152, 2713, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48614, 2261, 2140, 2739, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48651, 2279, 2186, 2702, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48689, 2267, 2168, 2711, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48726, 2259, 2150, 2739, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48764, 2263, 2192, 2700, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48802, 2266, 2157, 2742, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48839, 2258, 2184, 2698, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48876, 2282, 2163, 2705, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48913, 2276, 2135, 2741, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48950, 2253, 2216, 2711, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
48987, 2270, 2184, 2709, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
49024, 2269, 2165, 2713, 104, 894fb008-eee5-497a-8d52-aa87699827e4, , sujud, sujud, , 
