296858, 3405, 2170, 748, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
296895, 3419, 2217, 675, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
296932, 3446, 2219, 690, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
296970, 3466, 2208, 659, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297008, 3447, 2241, 698, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297046, 3502, 2242, 732, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297084, 3443, 2228, 748, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297122, 3420, 2200, 709, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297160, 3405, 2186, 728, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297198, 3421, 2228, 730, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297236, 3429, 2259, 730, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297274, 3424, 2253, 712, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297312, 3378, 2233, 707, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297350, 3416, 2233, 708, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297388, 3412, 2165, 722, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297426, 3396, 2339, 406, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297465, 3439, 2315, 539, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297504, 3454, 2239, 528, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297543, 3498, 2295, 591, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297583, 3414, 2217, 577, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297622, 3416, 2228, 640, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297661, 3467, 2204, 616, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297701, 3446, 2214, 638, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297740, 3452, 2177, 612, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297779, 3405, 2246, 674, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297819, 3451, 2231, 635, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297858, 3407, 2237, 631, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297897, 3412, 2224, 649, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297937, 3423, 2237, 656, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
297975, 3388, 2251, 641, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298013, 3404, 2218, 647, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298051, 3409, 2240, 650, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298089, 3457, 2228, 624, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
298127, 3426, 2273, 595, 95, 2a03cc86-397b-4c42-9c97-6788da060e48, , sujud, sujud, , 
