104592, 3371, 2161, 1152, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104627, 3415, 2104, 1131, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104662, 3438, 2011, 1050, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104698, 3411, 1981, 886, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104733, 3446, 2027, 960, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104768, 3500, 2028, 957, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104803, 3481, 2015, 906, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104838, 3506, 1998, 894, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104874, 3525, 1989, 848, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104912, 3535, 1994, 838, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104951, 3553, 1987, 783, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
104990, 3556, 1993, 789, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105028, 3520, 1978, 742, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105067, 3536, 1965, 757, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105106, 3560, 1983, 772, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105145, 3549, 1971, 769, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105183, 3562, 1961, 794, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105222, 3537, 1928, 781, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105261, 3552, 1987, 795, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105300, 3560, 1982, 798, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105340, 3563, 1988, 795, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105381, 3563, 1954, 797, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105421, 3556, 1986, 782, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105462, 3534, 1955, 770, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105502, 3521, 2000, 777, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105543, 3546, 1981, 787, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105583, 3532, 2000, 780, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105624, 3570, 1983, 788, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105664, 3549, 1964, 762, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105705, 3563, 1990, 778, 75, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105741, 3555, 1978, 759, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105778, 3557, 1989, 781, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105815, 3546, 1995, 776, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105851, 3545, 1976, 776, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105888, 3544, 1937, 783, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105925, 3559, 1938, 769, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105961, 3568, 1985, 781, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
105998, 3588, 1969, 770, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106035, 3552, 1993, 778, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106072, 3574, 1950, 766, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106109, 3558, 1994, 782, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106147, 3582, 1951, 748, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106184, 3564, 1963, 778, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106222, 3536, 1972, 786, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106259, 3564, 1978, 764, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106297, 3555, 1961, 779, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106334, 3544, 1971, 766, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106372, 3556, 1985, 765, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106409, 3543, 1960, 763, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106447, 3578, 1962, 758, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106485, 3568, 1976, 784, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106527, 3560, 1957, 763, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106569, 3559, 1954, 767, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106611, 3560, 1983, 776, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106653, 3565, 1977, 775, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106695, 3550, 1960, 738, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106737, 3565, 1966, 765, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106779, 3596, 1982, 769, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106821, 3551, 1986, 772, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106863, 3553, 1978, 776, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106905, 3552, 1963, 758, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106943, 3547, 1979, 766, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
106981, 3563, 1964, 771, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107019, 3552, 1978, 757, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107058, 3551, 1984, 764, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107096, 3571, 1974, 772, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107134, 3558, 1964, 764, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107173, 3556, 2001, 788, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107211, 3550, 1993, 781, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107249, 3551, 1978, 768, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107288, 3559, 1969, 765, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107324, 3560, 1980, 783, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107360, 3533, 1970, 781, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107396, 3526, 1986, 787, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107432, 3531, 1984, 765, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107468, 3556, 1998, 784, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107504, 3572, 1986, 770, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107540, 3532, 2021, 803, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107576, 3547, 1958, 777, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107612, 3541, 2001, 782, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107648, 3537, 1969, 772, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107684, 3545, 1992, 791, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107722, 3553, 1985, 799, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107760, 3550, 1977, 788, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107799, 3533, 1955, 804, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107837, 3547, 1968, 813, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107876, 3539, 1983, 811, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107914, 3542, 1973, 801, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107952, 3530, 1972, 788, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
107991, 3527, 1961, 844, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108029, 3539, 1944, 811, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108068, 3558, 1963, 859, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108109, 3539, 1971, 844, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108151, 3550, 1978, 819, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108192, 3534, 2005, 854, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108234, 3505, 2029, 824, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108276, 3503, 2008, 793, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108317, 3503, 2031, 815, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108359, 3495, 2080, 797, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108401, 3480, 2099, 807, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108442, 3463, 2077, 782, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108484, 3486, 2106, 791, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108526, 3412, 2144, 800, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108565, 3434, 2158, 819, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108605, 3445, 2149, 835, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108645, 3413, 2160, 794, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108684, 3428, 2221, 811, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108724, 3404, 2169, 743, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108764, 3392, 2216, 788, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108803, 3420, 2181, 789, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108843, 3378, 2224, 788, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108883, 3396, 2201, 795, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108923, 3438, 2190, 803, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108960, 3423, 2177, 807, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
108998, 3413, 2147, 753, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
109036, 3438, 2202, 789, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
109074, 3403, 2157, 760, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
109112, 3430, 2253, 834, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
109149, 3397, 2207, 809, 76, 0f81c81e-e6c8-462a-99aa-1f6c98a99252, , sujud, sujud, , 
