206338, 2803, 926, 2900, 104, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206382, 2815, 907, 2918, 104, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206427, 2849, 890, 2882, 104, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206462, 2832, 919, 2921, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206497, 2861, 876, 2902, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206532, 2857, 894, 2907, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206568, 2831, 947, 2894, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206603, 2856, 899, 2891, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206638, 2840, 905, 2884, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206673, 2881, 885, 2862, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206709, 2879, 926, 2893, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206744, 2861, 932, 2874, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206779, 2852, 965, 2884, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206815, 2826, 964, 2868, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206852, 2874, 960, 2862, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206889, 2853, 989, 2862, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206926, 2845, 950, 2857, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
206963, 2846, 971, 2858, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207000, 2855, 957, 2842, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207037, 2847, 943, 2872, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207074, 2835, 990, 2881, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207111, 2873, 940, 2845, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207148, 2842, 970, 2877, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207186, 2831, 981, 2867, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207226, 2831, 989, 2877, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207267, 2828, 998, 2872, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207308, 2846, 995, 2873, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207348, 2842, 1000, 2873, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207389, 2848, 993, 2879, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207430, 2860, 972, 2867, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207470, 2857, 986, 2873, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207511, 2849, 975, 2880, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207552, 2857, 942, 2890, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207593, 2849, 958, 2874, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207629, 2854, 953, 2878, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207666, 2840, 970, 2868, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207702, 2843, 961, 2887, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207739, 2869, 952, 2877, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207775, 2847, 971, 2880, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207812, 2834, 959, 2885, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207848, 2841, 973, 2868, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207885, 2849, 941, 2868, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207921, 2858, 953, 2869, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207958, 2858, 956, 2873, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
207995, 2850, 962, 2877, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208035, 2836, 965, 2883, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208075, 2829, 970, 2872, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208115, 2857, 961, 2874, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208156, 2835, 936, 2889, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208196, 2827, 952, 2865, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208236, 2857, 961, 2860, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208277, 2862, 968, 2881, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208317, 2853, 950, 2860, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208357, 2875, 944, 2874, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208398, 2860, 954, 2884, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208440, 2865, 976, 2871, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208482, 2853, 952, 2854, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208524, 2848, 975, 2858, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208566, 2843, 964, 2884, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208608, 2835, 965, 2863, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208650, 2866, 957, 2870, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208692, 2851, 937, 2869, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208734, 2848, 939, 2878, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208776, 2848, 957, 2866, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208818, 2837, 964, 2884, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208860, 2850, 965, 2887, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208895, 2832, 966, 2867, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208930, 2819, 963, 2862, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
208966, 2858, 970, 2873, 105, 4360a264-78a0-46f0-96c1-69cbed595274, , sujud, sujud, , 
