247453, 2844, 1098, 2817, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247494, 2837, 1054, 2856, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247535, 2787, 1055, 2854, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247571, 2795, 1036, 2889, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247607, 2785, 1007, 2924, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247644, 2806, 1018, 2923, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247680, 2804, 996, 2936, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247716, 2805, 974, 2908, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247753, 2811, 999, 2896, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247789, 2840, 989, 2867, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247825, 2836, 989, 2878, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247862, 2843, 994, 2865, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247898, 2839, 995, 2880, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247935, 2810, 991, 2855, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
247974, 2810, 1033, 2901, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248013, 2812, 1015, 2885, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248052, 2825, 1015, 2881, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248091, 2807, 1013, 2885, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248131, 2821, 1059, 2868, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248170, 2836, 1024, 2853, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248209, 2803, 1056, 2858, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248248, 2819, 1043, 2862, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248287, 2816, 1017, 2889, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248327, 2828, 1043, 2865, 93, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248369, 2797, 1050, 2871, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248411, 2813, 1054, 2863, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248454, 2834, 1033, 2867, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248496, 2814, 1058, 2863, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248539, 2819, 1046, 2862, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248581, 2838, 1043, 2868, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248623, 2836, 1062, 2861, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248666, 2831, 1070, 2845, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248708, 2826, 1071, 2850, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248751, 2847, 1041, 2848, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248793, 2822, 1044, 2849, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248836, 2844, 1072, 2862, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248879, 2837, 1037, 2855, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248921, 2840, 1052, 2862, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
248964, 2837, 1042, 2841, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249007, 2833, 1037, 2877, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249050, 2835, 1054, 2847, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249092, 2843, 1040, 2844, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249135, 2831, 1034, 2867, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249178, 2831, 1043, 2872, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249221, 2831, 1034, 2858, 90, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249255, 2841, 1036, 2863, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249290, 2842, 1033, 2861, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249324, 2837, 1041, 2859, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249359, 2820, 1032, 2858, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249394, 2838, 1039, 2850, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249428, 2827, 1039, 2869, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249463, 2809, 1027, 2866, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249497, 2831, 1004, 2884, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249532, 2853, 1024, 2872, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249567, 2814, 1031, 2866, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249600, 2833, 1052, 2867, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249634, 2837, 1047, 2851, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249668, 2834, 1052, 2850, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249702, 2838, 1067, 2870, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249736, 2846, 1037, 2850, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249769, 2848, 1040, 2856, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249803, 2820, 1037, 2847, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249837, 2844, 1038, 2844, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249871, 2842, 1046, 2870, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249905, 2873, 998, 2873, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249939, 2838, 1000, 2873, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
249982, 2826, 994, 2878, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250026, 2834, 984, 2872, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250069, 2853, 995, 2859, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250113, 2833, 1027, 2857, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250156, 2833, 1006, 2864, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250200, 2825, 1014, 2877, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250243, 2843, 1016, 2873, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250287, 2803, 1014, 2879, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250330, 2821, 1000, 2888, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250374, 2821, 1020, 2870, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250410, 2822, 1002, 2879, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250446, 2833, 1015, 2877, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250482, 2819, 1004, 2873, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250518, 2826, 1001, 2878, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250554, 2801, 1018, 2878, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250590, 2836, 1001, 2877, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250626, 2817, 1028, 2879, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250662, 2834, 1019, 2869, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250698, 2809, 1027, 2874, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250734, 2822, 1022, 2874, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250771, 2821, 1027, 2867, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250809, 2846, 1054, 2868, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250847, 2832, 1037, 2884, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250884, 2840, 1026, 2865, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250922, 2845, 1011, 2878, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250960, 2811, 1035, 2867, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
250998, 2812, 1023, 2869, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251035, 2832, 1021, 2868, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251073, 2845, 1020, 2880, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251111, 2835, 1029, 2856, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251149, 2832, 1022, 2867, 89, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251190, 2821, 1029, 2871, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251232, 2849, 1041, 2861, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251274, 2831, 1007, 2875, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251316, 2827, 1005, 2861, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251358, 2848, 1030, 2854, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251400, 2850, 1026, 2834, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251442, 2842, 1029, 2858, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251484, 2837, 1014, 2845, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251526, 2834, 1019, 2864, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251568, 2860, 1017, 2862, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251602, 2860, 1009, 2863, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251636, 2854, 1012, 2853, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251670, 2858, 1026, 2857, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251704, 2863, 995, 2870, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251738, 2858, 1013, 2840, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251773, 2864, 1018, 2843, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251807, 2867, 1034, 2864, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251841, 2855, 1035, 2838, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251875, 2879, 1022, 2849, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251909, 2858, 1017, 2822, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251944, 2874, 1029, 2840, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
251988, 2859, 1020, 2824, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252032, 2858, 1011, 2828, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252076, 2887, 1040, 2822, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252120, 2883, 1023, 2825, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252164, 2863, 1029, 2812, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252208, 2869, 1006, 2824, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252252, 2884, 1018, 2840, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252296, 2888, 1000, 2824, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252340, 2876, 1014, 2847, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252384, 2867, 1019, 2824, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252419, 2902, 1029, 2821, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252455, 2846, 1031, 2818, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
252491, 2847, 1031, 2828, 88, 1cdf143c-85a0-485a-9e45-552c8a6ab535, , sujud, sujud, , 
