117509, 2886, 1300, 2705, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117542, 2862, 1254, 2726, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117575, 2834, 1220, 2737, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117609, 2863, 1174, 2763, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117654, 2910, 1305, 2704, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117699, 2884, 1337, 2672, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117744, 2930, 1347, 2665, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117789, 2875, 1405, 2666, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117834, 2855, 1392, 2671, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117879, 2879, 1393, 2657, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117924, 2891, 1357, 2638, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
117969, 2880, 1392, 2637, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118014, 2918, 1404, 2637, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118059, 2922, 1404, 2622, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118092, 2892, 1383, 2640, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118125, 2871, 1387, 2641, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118159, 2872, 1354, 2612, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118192, 2849, 1411, 2629, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118225, 2890, 1429, 2614, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118259, 2919, 1377, 2641, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118292, 2905, 1423, 2584, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118325, 2914, 1402, 2600, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118359, 2960, 1424, 2573, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118392, 2939, 1379, 2598, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118426, 2949, 1400, 2576, 96, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118464, 2930, 1402, 2568, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118502, 2934, 1387, 2594, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118540, 2942, 1366, 2589, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118579, 2939, 1433, 2564, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118617, 2975, 1394, 2550, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118655, 2897, 1398, 2574, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118694, 2945, 1416, 2580, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118732, 2921, 1436, 2569, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118770, 2911, 1446, 2580, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118809, 2939, 1459, 2555, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118849, 2959, 1402, 2555, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118890, 2943, 1435, 2566, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118930, 2945, 1439, 2564, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
118971, 2920, 1431, 2550, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119011, 2924, 1442, 2567, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119052, 2945, 1465, 2555, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119092, 2939, 1453, 2546, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119133, 2945, 1442, 2526, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119173, 2965, 1438, 2522, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119214, 2955, 1445, 2555, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119247, 2970, 1458, 2533, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119281, 2963, 1440, 2522, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119315, 2980, 1450, 2529, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119349, 2964, 1414, 2546, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119383, 2962, 1433, 2540, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119416, 2976, 1419, 2547, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119450, 2949, 1427, 2545, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119484, 2974, 1460, 2540, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119518, 2951, 1437, 2557, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119552, 2947, 1448, 2543, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119586, 2976, 1441, 2542, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119626, 2954, 1424, 2547, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119667, 2933, 1429, 2540, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119707, 2939, 1402, 2554, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119748, 2958, 1430, 2561, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119788, 2935, 1438, 2559, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119829, 2943, 1409, 2580, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119869, 2927, 1433, 2552, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119910, 2946, 1404, 2567, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119950, 2939, 1407, 2576, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
119991, 2956, 1420, 2558, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120030, 2950, 1421, 2561, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120069, 2945, 1423, 2549, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120108, 2949, 1413, 2552, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120147, 2963, 1420, 2555, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
120186, 2938, 1410, 2551, 98, b7349e65-471a-4a25-9ce2-1afa3ab9a0fe, , sujud, sujud, , 
