265860, 3609, 1190, 1753, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
265905, 3577, 1173, 1768, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
265950, 3583, 1182, 1776, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
265995, 3588, 1151, 1776, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266040, 3592, 1166, 1728, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266085, 3586, 1167, 1744, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266118, 3592, 1144, 1721, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266151, 3618, 1178, 1725, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266184, 3601, 1170, 1733, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266217, 3572, 1209, 1706, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266250, 3595, 1153, 1709, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266283, 3613, 1178, 1679, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266316, 3607, 1145, 1701, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266349, 3598, 1122, 1705, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266382, 3602, 1148, 1718, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266415, 3606, 1137, 1695, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266448, 3588, 1179, 1709, 72, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266491, 3616, 1174, 1704, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266535, 3600, 1174, 1698, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266578, 3616, 1130, 1708, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266622, 3607, 1162, 1674, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266665, 3622, 1158, 1685, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266709, 3637, 1145, 1705, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266752, 3616, 1172, 1692, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266796, 3624, 1166, 1701, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266839, 3591, 1147, 1693, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266883, 3600, 1144, 1703, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266918, 3599, 1167, 1690, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
266953, 3596, 1161, 1706, 71, c68ddca3-4b3d-49df-a7bd-7cbae80d56cd, , sujud, sujud, , 
