473212, 3266, 1695, 1892, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473247, 3258, 1639, 1928, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473283, 3282, 1622, 1894, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473319, 3299, 1639, 1937, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473361, 3299, 1578, 1885, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473403, 3314, 1587, 1904, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473445, 3313, 1609, 1891, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473488, 3343, 1594, 1849, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473530, 3369, 1602, 1845, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473572, 3344, 1598, 1841, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473615, 3324, 1595, 1841, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473657, 3347, 1625, 1831, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473699, 3338, 1620, 1838, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473742, 3356, 1668, 1835, 85, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473784, 3329, 1659, 1816, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473827, 3344, 1657, 1826, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473870, 3356, 1628, 1796, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473912, 3370, 1650, 1824, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473955, 3320, 1664, 1823, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
473998, 3340, 1633, 1798, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474040, 3355, 1661, 1811, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474083, 3356, 1633, 1811, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474126, 3357, 1652, 1841, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474169, 3377, 1636, 1812, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474201, 3372, 1626, 1805, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474233, 3360, 1617, 1799, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474265, 3363, 1629, 1814, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474297, 3354, 1597, 1809, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474329, 3353, 1617, 1794, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474362, 3374, 1610, 1812, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474394, 3350, 1613, 1798, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474426, 3360, 1611, 1818, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474458, 3359, 1620, 1791, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474490, 3364, 1637, 1799, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474523, 3363, 1641, 1800, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474565, 3365, 1644, 1814, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474607, 3352, 1639, 1794, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474649, 3374, 1641, 1817, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474692, 3367, 1611, 1803, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474734, 3349, 1635, 1822, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474776, 3364, 1630, 1806, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474819, 3361, 1637, 1807, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474861, 3385, 1661, 1800, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474903, 3371, 1627, 1798, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474946, 3335, 1652, 1809, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
474980, 3359, 1662, 1780, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475014, 3359, 1647, 1794, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475048, 3358, 1649, 1807, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475082, 3337, 1641, 1810, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475116, 3371, 1611, 1805, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
475150, 3374, 1631, 1799, 83, f3556e51-c7ea-42a8-9301-2e3fbf8cdc1a, , sujud, sujud, , 
