261910, 2905, 1046, 2796, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
261948, 2945, 1117, 2714, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
261986, 2931, 1109, 2733, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262024, 2945, 978, 2700, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262062, 3083, 1014, 2684, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262100, 3044, 961, 2673, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262139, 3035, 950, 2680, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262177, 3066, 938, 2660, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262215, 3039, 981, 2674, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262253, 3068, 903, 2608, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262291, 3097, 859, 2587, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262330, 3187, 916, 2522, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262367, 3168, 854, 2532, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262404, 3213, 857, 2477, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262442, 3314, 870, 2423, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262479, 3343, 801, 2480, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262517, 3126, 812, 2494, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262554, 3249, 863, 2461, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262591, 3181, 822, 2510, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262629, 3282, 806, 2517, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262666, 3194, 826, 2536, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262704, 3162, 862, 2579, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262746, 3162, 835, 2581, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262788, 3158, 883, 2582, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262830, 3165, 851, 2574, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262872, 3123, 873, 2598, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262914, 3121, 907, 2593, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262956, 3112, 875, 2611, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
262998, 3091, 878, 2594, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263040, 3119, 905, 2608, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263082, 3119, 912, 2607, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263124, 3128, 899, 2585, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
263159, 3143, 897, 2578, 84, a825fa18-3216-42f2-b0c9-a77ddc421e3e, , sujud, sujud, , 
