222338, 3004, 2423, 1498, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222372, 2985, 2436, 1493, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222412, 2983, 2457, 1490, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222452, 2950, 2457, 1458, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222492, 2976, 2478, 1451, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222533, 2942, 2498, 1471, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222573, 2959, 2507, 1460, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222613, 2957, 2490, 1455, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222654, 2950, 2506, 1450, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222694, 2956, 2527, 1425, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222734, 2949, 2525, 1432, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222775, 2915, 2585, 1408, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222812, 2937, 2552, 1393, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222849, 2933, 2569, 1401, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222886, 2940, 2540, 1393, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222923, 2961, 2520, 1383, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222960, 2954, 2569, 1402, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
222998, 2953, 2527, 1399, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223035, 2938, 2549, 1390, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223072, 2942, 2568, 1381, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223109, 2938, 2535, 1386, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223146, 2929, 2551, 1388, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223184, 2955, 2552, 1392, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223222, 2967, 2561, 1365, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223261, 2960, 2560, 1377, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223299, 2935, 2537, 1377, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
223338, 2976, 2573, 1374, 98, 3f412ec3-d5b5-468e-9d65-62e345e5a74d, , sujud, sujud, , 
