109292, 3072, 2143, 1629, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109332, 3029, 2228, 1691, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109372, 3052, 2241, 1653, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109412, 3054, 2244, 1689, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109453, 3082, 2212, 1700, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109491, 3078, 2069, 1636, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109530, 3070, 2160, 1736, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109569, 3084, 2150, 1706, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109608, 3093, 2183, 1732, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109647, 3083, 2170, 1698, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109685, 3054, 2201, 1730, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109724, 3057, 2268, 1726, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109763, 3062, 2215, 1727, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109802, 3092, 2175, 1695, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109841, 3083, 2173, 1720, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109880, 3091, 2176, 1724, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109920, 3088, 2192, 1688, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109959, 3083, 2210, 1706, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
109999, 3088, 2198, 1683, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110038, 3068, 2223, 1690, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110078, 3081, 2212, 1692, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110117, 3059, 2211, 1700, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110157, 3071, 2193, 1694, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110196, 3079, 2206, 1723, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110236, 3056, 2206, 1700, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110276, 3066, 2228, 1678, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110313, 3082, 2178, 1675, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110351, 3105, 2199, 1694, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110389, 3066, 2218, 1698, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110427, 3086, 2187, 1675, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110465, 3107, 2144, 1709, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110502, 3040, 2301, 1649, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110540, 3092, 2231, 1689, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110578, 3068, 2187, 1670, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110616, 3059, 2222, 1680, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110654, 3088, 2245, 1688, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110690, 3074, 2209, 1679, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110726, 3075, 2219, 1683, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110763, 3071, 2202, 1669, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110799, 3087, 2201, 1689, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110836, 3086, 2217, 1682, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110872, 3056, 2222, 1674, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110909, 3078, 2191, 1656, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110945, 3087, 2241, 1657, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
110982, 3066, 2221, 1671, 99, 83af5d5f-747d-40db-92b1-56cca585a64d, , sujud, sujud, , 
