308366, 3524, 2144, 518, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308406, 3496, 2178, 478, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308447, 3502, 2176, 476, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308484, 3468, 2182, 459, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308521, 3491, 2209, 451, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308558, 3497, 2193, 449, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308595, 3493, 2195, 430, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308633, 3493, 2187, 428, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308670, 3503, 2193, 430, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308707, 3473, 2238, 449, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308744, 3464, 2232, 437, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308782, 3492, 2231, 454, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308819, 3468, 2241, 455, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308856, 3473, 2223, 465, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308893, 3471, 2206, 434, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308931, 3460, 2220, 468, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
308972, 3455, 2218, 425, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309013, 3437, 2238, 468, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309054, 3441, 2252, 452, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309095, 3422, 2216, 435, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309137, 3441, 2214, 437, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309178, 3431, 2254, 448, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309219, 3434, 2270, 445, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309260, 3445, 2233, 431, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309302, 3424, 2256, 428, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309343, 3443, 2250, 442, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309384, 3448, 2230, 429, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309425, 3435, 2242, 423, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309467, 3416, 2229, 422, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309501, 3447, 2245, 442, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309536, 3457, 2218, 414, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309571, 3427, 2240, 435, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309605, 3424, 2230, 445, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309640, 3460, 2226, 428, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309675, 3442, 2247, 434, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309709, 3438, 2263, 444, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309744, 3466, 2248, 460, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309779, 3432, 2247, 453, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309813, 3444, 2217, 440, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309848, 3442, 2227, 418, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309883, 3431, 2287, 442, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309918, 3459, 2241, 450, 97, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
309958, 3449, 2268, 458, 98, add80c7d-7010-4a63-8c71-fa957a608ed4, , sujud, sujud, , 
