55097, 3063, 1886, 2074, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55140, 3064, 1926, 2035, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55182, 3146, 1870, 2077, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55225, 3139, 1973, 2007, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55267, 3227, 1858, 1938, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55310, 3183, 1893, 1897, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55352, 3247, 1839, 1913, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55395, 3209, 1851, 1841, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55437, 3179, 1798, 1825, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55480, 3239, 1863, 1874, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55519, 3253, 1778, 1779, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55558, 3259, 1855, 1818, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55598, 3263, 1723, 1762, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55637, 3274, 1821, 1773, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55677, 3320, 1799, 1748, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55716, 3243, 1819, 1717, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55756, 3280, 1868, 1710, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55795, 3239, 1882, 1762, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55835, 3240, 1812, 1743, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55874, 3368, 1787, 1669, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55914, 3298, 1985, 1599, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55948, 3306, 1882, 1575, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
55983, 3309, 1879, 1638, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56018, 3332, 1847, 1597, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56053, 3346, 1881, 1623, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56088, 3335, 1869, 1614, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56123, 3330, 1890, 1640, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56158, 3366, 1862, 1616, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56193, 3294, 1900, 1579, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56228, 3349, 1903, 1599, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56263, 3269, 1903, 1572, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56303, 3313, 1953, 1628, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56343, 3334, 1938, 1588, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56383, 3348, 1931, 1571, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56423, 3311, 1935, 1556, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56463, 3335, 1902, 1561, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56503, 3337, 1926, 1524, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56543, 3315, 1907, 1544, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56583, 3323, 1924, 1563, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56623, 3322, 1926, 1579, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56664, 3325, 1886, 1557, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56700, 3302, 1910, 1558, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56737, 3308, 1928, 1580, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56774, 3313, 1892, 1576, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56811, 3309, 1962, 1580, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56848, 3310, 1962, 1592, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56885, 3301, 1953, 1566, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56922, 3281, 2006, 1612, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56959, 3276, 1930, 1620, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
56996, 3200, 2052, 1676, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
57033, 3226, 1967, 1696, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
57070, 3162, 2017, 1753, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
57111, 3193, 2243, 1809, 67, 4f72a0e3-b4e3-4c36-9b9e-2821529350a9, , sujud, sujud, , 
