325166, 3009, 1176, 2580, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325207, 2975, 1154, 2662, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325248, 2970, 1116, 2650, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325289, 3013, 1073, 2611, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325330, 3058, 1118, 2616, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325371, 2966, 1258, 2605, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325412, 3062, 1127, 2559, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325453, 3009, 1052, 2583, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325494, 3167, 1054, 2489, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325535, 3154, 1073, 2471, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325575, 3226, 1081, 2448, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325615, 3217, 1054, 2432, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325655, 3227, 1037, 2470, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325695, 3137, 1068, 2478, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325735, 3133, 1063, 2542, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325775, 3095, 1048, 2537, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325815, 3150, 1035, 2519, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325855, 3126, 1105, 2541, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325895, 3103, 1090, 2569, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325936, 3032, 1092, 2607, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
325972, 3048, 1048, 2611, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326009, 3062, 1104, 2580, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326046, 3065, 1095, 2570, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326083, 3060, 1117, 2580, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326120, 3055, 1106, 2584, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326156, 3048, 1079, 2607, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326193, 3052, 1158, 2580, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326230, 3039, 1150, 2585, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326267, 3037, 1146, 2588, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326304, 3027, 1175, 2598, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326341, 3028, 1148, 2594, 97, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326379, 3033, 1163, 2578, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326417, 3015, 1150, 2594, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326455, 3020, 1151, 2598, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326493, 3044, 1161, 2580, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326531, 3031, 1138, 2610, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326569, 3034, 1125, 2602, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326607, 3039, 1164, 2585, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326645, 3020, 1167, 2602, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326683, 3038, 1130, 2579, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326722, 3046, 1124, 2610, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326758, 3046, 1143, 2587, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326794, 3007, 1128, 2601, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326830, 3027, 1116, 2606, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326866, 3051, 1122, 2583, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326902, 3027, 1124, 2601, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326939, 3009, 1114, 2602, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
326975, 3042, 1118, 2595, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327011, 3033, 1136, 2602, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327047, 3035, 1122, 2602, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327083, 3025, 1152, 2611, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327120, 3008, 1131, 2612, 95, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327160, 3037, 1122, 2603, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327201, 3044, 1133, 2609, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327241, 3046, 1131, 2612, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
327282, 3043, 1107, 2605, 94, 7d207dbe-f404-41a8-a536-826d5e430f5e, , sujud, sujud, , 
