163856, 2741, 1126, 2906, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
163894, 2773, 1035, 2901, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
163932, 2766, 1068, 2907, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
163965, 2777, 1064, 2923, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
163999, 2795, 1034, 2904, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164033, 2799, 1050, 2887, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164067, 2792, 1007, 2905, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164101, 2784, 990, 2893, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164134, 2774, 1031, 2914, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164168, 2777, 1060, 2930, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164202, 2749, 1081, 2901, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164236, 2760, 1073, 2920, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164270, 2743, 1044, 2908, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164304, 2750, 1012, 2912, 97, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164345, 2745, 1036, 2939, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164387, 2741, 1026, 2934, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164428, 2755, 991, 2955, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164470, 2752, 1034, 2955, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164512, 2780, 1013, 2935, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164553, 2774, 1009, 2926, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164595, 2767, 1010, 2930, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164636, 2776, 1020, 2922, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164678, 2773, 1035, 2916, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164720, 2806, 1031, 2902, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164761, 2778, 1026, 2909, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164802, 2800, 1006, 2885, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164844, 2792, 1021, 2902, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164885, 2804, 1029, 2916, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164927, 2790, 1022, 2898, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
164968, 2818, 1010, 2878, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165009, 2817, 1005, 2914, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165051, 2813, 1000, 2902, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165092, 2803, 1004, 2903, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165134, 2801, 998, 2903, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165168, 2809, 976, 2912, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165203, 2784, 1013, 2908, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165238, 2779, 1017, 2907, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165273, 2804, 1029, 2920, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165308, 2784, 1043, 2915, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165342, 2796, 1029, 2916, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165377, 2759, 1013, 2922, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165412, 2772, 1022, 2923, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165447, 2770, 1023, 2919, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165482, 2780, 1014, 2926, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165517, 2761, 1016, 2908, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165556, 2782, 1031, 2933, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165595, 2786, 1029, 2926, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165634, 2786, 1010, 2925, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165674, 2768, 1010, 2916, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165713, 2781, 1028, 2922, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165752, 2786, 1020, 2908, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165792, 2799, 1034, 2905, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165831, 2756, 1037, 2929, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165870, 2774, 1021, 2906, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165910, 2770, 1049, 2932, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
165955, 2753, 1048, 2918, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166001, 2784, 1029, 2927, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166047, 2774, 1025, 2919, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166092, 2761, 1056, 2921, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166138, 2787, 1037, 2918, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166184, 2782, 1022, 2929, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166229, 2758, 1055, 2916, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166275, 2771, 1055, 2927, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166321, 2769, 1056, 2904, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166367, 2781, 1051, 2907, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166397, 2756, 1052, 2934, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166428, 2771, 1041, 2913, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166459, 2761, 1033, 2904, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166490, 2774, 1067, 2910, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166521, 2788, 1046, 2899, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166551, 2780, 1052, 2920, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166582, 2778, 1055, 2909, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166613, 2779, 1046, 2904, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166644, 2781, 1043, 2893, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166675, 2768, 1039, 2912, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166706, 2789, 1043, 2893, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166748, 2776, 1043, 2921, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166790, 2792, 1058, 2899, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166832, 2781, 1032, 2909, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166874, 2788, 1035, 2907, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166916, 2805, 1044, 2899, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
166958, 2790, 1061, 2904, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167000, 2790, 1018, 2890, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167042, 2792, 1068, 2891, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167084, 2770, 1056, 2903, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167126, 2794, 1042, 2903, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167164, 2801, 1030, 2896, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167202, 2812, 1027, 2892, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167241, 2786, 1040, 2888, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167279, 2782, 1040, 2902, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167318, 2777, 1041, 2892, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167356, 2793, 1048, 2895, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167394, 2803, 1062, 2879, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167433, 2790, 1054, 2887, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167471, 2787, 1053, 2902, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167510, 2783, 1036, 2912, 98, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167548, 2772, 1046, 2887, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167586, 2806, 1047, 2896, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167624, 2783, 1072, 2909, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167662, 2797, 1043, 2890, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167700, 2800, 1038, 2891, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167739, 2782, 1055, 2906, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167777, 2814, 1065, 2885, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167815, 2770, 1038, 2895, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167853, 2787, 1036, 2893, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167891, 2793, 1033, 2900, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167930, 2777, 1058, 2902, 101, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
167968, 2794, 1063, 2886, 102, 004b679b-16d4-4e93-9094-7eb513253038, , sujud, sujud, , 
