140654, 1662, 1341, 3576, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
140699, 1663, 1405, 3505, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
140744, 1712, 1376, 3523, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
140789, 1687, 1447, 3525, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
140834, 1552, 1530, 3530, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
140879, 1726, 1451, 3525, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
140924, 1746, 1435, 3509, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
140969, 1746, 1438, 3442, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141015, 1768, 1403, 3504, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141051, 1751, 1407, 3461, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141087, 1760, 1386, 3495, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141123, 1727, 1376, 3522, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141159, 1703, 1407, 3536, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141196, 1726, 1434, 3517, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141232, 1640, 1452, 3615, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141268, 1736, 1446, 3520, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141304, 1693, 1469, 3506, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141340, 1710, 1441, 3512, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141377, 1633, 1482, 3505, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141416, 1648, 1433, 3531, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141455, 1658, 1415, 3524, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141494, 1656, 1445, 3500, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141534, 1669, 1404, 3522, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141573, 1677, 1412, 3532, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141612, 1652, 1397, 3533, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141651, 1642, 1368, 3532, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141691, 1697, 1201, 3581, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141730, 1624, 1287, 3553, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141769, 1663, 1339, 3559, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141809, 1713, 1308, 3559, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141845, 1736, 1299, 3537, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141882, 1724, 1263, 3547, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141918, 1733, 1266, 3571, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141955, 1718, 1261, 3583, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
141992, 1679, 1268, 3585, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
142028, 1703, 1276, 3571, 99, 7c219067-3cbf-402d-a047-d63145a1b835, , sujud, sujud, , 
