377436, 3406, 1477, 1873, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377475, 3414, 1375, 1866, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377514, 3408, 1420, 1871, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377552, 3421, 1391, 1859, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377591, 3407, 1444, 1855, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377630, 3426, 1431, 1852, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377669, 3433, 1430, 1859, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377708, 3432, 1416, 1828, 71, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377754, 3397, 1468, 1876, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377800, 3438, 1455, 1871, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377846, 3401, 1478, 1859, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377892, 3409, 1479, 1879, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377939, 3393, 1493, 1866, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
377985, 3386, 1470, 1900, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378031, 3400, 1461, 1872, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378077, 3400, 1482, 1908, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378123, 3363, 1443, 1904, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378170, 3389, 1450, 1942, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
378202, 3363, 1483, 1898, 70, 7ba305f2-2ffe-4da7-b507-7db93d2c3de9, , sujud, sujud, , 
