62232, 3575, 1086, 1837, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62272, 3620, 955, 1833, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62312, 3622, 1014, 1754, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62352, 3602, 1086, 1696, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62392, 3588, 1158, 1774, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62432, 3641, 988, 1722, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62472, 3633, 1088, 1779, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62512, 3658, 999, 1752, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62552, 3606, 986, 1778, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62592, 3643, 1021, 1770, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62633, 3585, 1031, 1763, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62673, 3661, 1068, 1718, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62714, 3658, 1046, 1623, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62754, 3619, 1086, 1668, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62795, 3676, 997, 1633, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62836, 3645, 1085, 1664, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62876, 3675, 1010, 1602, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62917, 3642, 1107, 1633, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
62957, 3671, 1126, 1620, 98, 53735837-c44e-46ea-982f-ede48d4d3cde, , sujud, sujud, , 
