144976, 2709, 2829, 1352, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145014, 2718, 2812, 1354, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145052, 2713, 2838, 1352, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145090, 2700, 2819, 1348, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145128, 2724, 2812, 1378, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145166, 2709, 2786, 1384, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145204, 2724, 2799, 1392, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145240, 2749, 2794, 1355, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145277, 2733, 2795, 1358, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145314, 2722, 2796, 1350, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145350, 2730, 2819, 1337, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145387, 2756, 2814, 1334, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145424, 2719, 2811, 1340, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145460, 2737, 2812, 1347, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145497, 2733, 2805, 1351, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145534, 2709, 2797, 1366, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145571, 2733, 2818, 1356, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145615, 2717, 2810, 1374, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145659, 2718, 2781, 1379, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145703, 2704, 2789, 1352, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145748, 2744, 2793, 1356, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145792, 2717, 2808, 1353, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145836, 2738, 2798, 1349, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145881, 2720, 2814, 1361, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145925, 2729, 2815, 1359, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
145969, 2736, 2809, 1363, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146014, 2720, 2794, 1368, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146048, 2721, 2809, 1357, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146082, 2729, 2809, 1363, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146116, 2725, 2823, 1356, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146150, 2733, 2809, 1343, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146184, 2722, 2815, 1366, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146219, 2710, 2804, 1352, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146253, 2711, 2832, 1369, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146287, 2710, 2814, 1367, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146321, 2696, 2808, 1361, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146355, 2716, 2815, 1370, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146390, 2724, 2804, 1372, 80, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146427, 2697, 2806, 1352, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146465, 2704, 2809, 1354, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146503, 2719, 2817, 1353, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146541, 2689, 2832, 1353, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146579, 2690, 2833, 1331, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146617, 2699, 2811, 1362, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146655, 2659, 2887, 1372, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146693, 2721, 2812, 1363, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146731, 2710, 2801, 1375, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146769, 2700, 2795, 1382, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146815, 2686, 2809, 1389, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146862, 2690, 2807, 1380, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
146908, 2708, 2799, 1379, 82, 842cc3d2-3763-487e-b9d5-b55bed96e20e, , sujud, sujud, , 
