143563, 3102, 2313, 1403, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143602, 3128, 2278, 1413, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143641, 3183, 2263, 1376, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143678, 3182, 2277, 1379, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143715, 3133, 2316, 1330, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143752, 3148, 2341, 1385, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143789, 3123, 2296, 1331, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143826, 3174, 2325, 1331, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143863, 3211, 2255, 1308, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143900, 3195, 2297, 1328, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143937, 3185, 2295, 1312, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
143974, 3190, 2264, 1348, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144011, 3210, 2278, 1253, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144048, 3234, 2227, 1287, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144094, 3236, 2254, 1241, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144141, 3126, 2424, 1218, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144188, 3196, 2323, 1244, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144235, 3198, 2278, 1247, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144282, 3199, 2321, 1267, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144329, 3214, 2307, 1272, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144376, 3223, 2295, 1220, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144423, 3205, 2332, 1237, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144470, 3206, 2282, 1217, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144517, 3199, 2313, 1221, 76, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144549, 3225, 2295, 1242, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144581, 3215, 2320, 1229, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144613, 3206, 2304, 1214, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144646, 3226, 2272, 1197, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144678, 3213, 2292, 1178, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144710, 3238, 2281, 1207, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144743, 3223, 2312, 1179, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144775, 3228, 2303, 1196, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144807, 3223, 2306, 1188, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144840, 3218, 2306, 1182, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144878, 3224, 2280, 1182, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144917, 3229, 2275, 1177, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144956, 3217, 2306, 1176, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
144995, 3229, 2335, 1180, 73, f8faff52-10b8-4de5-b95b-2cc09ee068e2, , sujud, sujud, , 
