99498, 3458, 1838, 1549, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99537, 3388, 1894, 1533, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99576, 3425, 1780, 1492, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99615, 3427, 1812, 1515, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99654, 3434, 1811, 1475, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99693, 3424, 1806, 1491, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99732, 3425, 1817, 1484, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99771, 3432, 1814, 1457, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99810, 3450, 1772, 1477, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99849, 3450, 1799, 1435, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99889, 3452, 1782, 1437, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99923, 3459, 1836, 1406, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99958, 3400, 1840, 1422, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
99993, 3435, 1827, 1436, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100028, 3433, 1831, 1447, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100063, 3414, 1844, 1437, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100097, 3422, 1852, 1485, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100132, 3415, 1847, 1447, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100167, 3414, 1839, 1431, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100202, 3425, 1871, 1435, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100237, 3418, 1839, 1408, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100272, 3424, 1871, 1400, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100313, 3396, 1865, 1405, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100354, 3422, 1847, 1430, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100395, 3419, 1819, 1423, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100436, 3437, 1821, 1426, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100477, 3431, 1853, 1429, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100518, 3429, 1857, 1413, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100559, 3414, 1891, 1402, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100600, 3426, 1857, 1415, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100641, 3410, 1820, 1417, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100683, 3454, 1839, 1433, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100721, 3432, 1844, 1414, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100759, 3431, 1859, 1417, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100797, 3448, 1874, 1406, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100836, 3450, 1857, 1392, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100874, 3443, 1850, 1394, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100912, 3445, 1879, 1395, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100950, 3433, 1879, 1390, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
100989, 3424, 1864, 1403, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101027, 3423, 1868, 1392, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101065, 3418, 1848, 1403, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101104, 3442, 1872, 1391, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101140, 3404, 1856, 1377, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101177, 3421, 1876, 1398, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101214, 3416, 1866, 1383, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101250, 3435, 1867, 1370, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101287, 3420, 1917, 1392, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101324, 3431, 1860, 1390, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101360, 3410, 1868, 1384, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101397, 3437, 1868, 1385, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101434, 3437, 1879, 1382, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101471, 3404, 1900, 1386, 76, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101513, 3413, 1851, 1379, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101556, 3407, 1928, 1394, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101599, 3376, 1888, 1369, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101642, 3393, 1982, 1415, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101685, 3388, 1925, 1373, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101727, 3387, 1968, 1360, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101770, 3386, 1960, 1310, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101813, 3412, 2003, 1316, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101856, 3425, 2034, 1263, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
101899, 3390, 1982, 1176, 77, 0da56758-9380-4bf4-a1d9-1a91d71a27d7, , sujud, sujud, , 
