122721, 2916, 2638, 1387, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
122759, 2918, 2579, 1431, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
122797, 2904, 2611, 1390, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
122835, 2955, 2608, 1466, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
122875, 2990, 2520, 1430, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
122915, 2967, 2592, 1376, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
122955, 3001, 2529, 1200, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
122995, 2854, 2581, 1259, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123035, 2965, 2549, 1286, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123075, 2931, 2640, 1211, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123115, 2942, 2538, 1304, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123155, 3060, 2441, 1361, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123195, 3057, 2439, 1417, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123236, 3056, 2436, 1337, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123273, 3021, 2509, 1260, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123311, 3067, 2486, 1296, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123349, 3048, 2477, 1324, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123386, 3059, 2426, 1338, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123424, 3074, 2382, 1322, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123462, 3078, 2381, 1334, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123500, 3063, 2453, 1361, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123537, 3073, 2384, 1359, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123575, 3034, 2460, 1328, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123613, 3057, 2437, 1342, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123651, 3048, 2448, 1332, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123693, 3091, 2426, 1345, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123736, 3024, 2481, 1308, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123779, 3082, 2465, 1310, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123822, 3070, 2464, 1308, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123865, 3053, 2461, 1316, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123908, 3064, 2456, 1313, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123951, 3064, 2450, 1309, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
123994, 3040, 2484, 1324, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124037, 3030, 2479, 1318, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124080, 3029, 2476, 1322, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
124115, 3040, 2507, 1293, 90, 571ddd04-e9fe-4aa4-956f-ab1b4bb1a23b, , sujud, sujud, , 
