72798, 1940, 1362, 3340, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
72837, 1984, 1389, 3342, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
72876, 2010, 1412, 3415, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
72916, 1976, 1371, 3371, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
72954, 2172, 1431, 3188, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
72993, 2048, 1406, 3342, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73032, 2137, 1476, 3252, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73071, 2217, 1356, 3273, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73110, 2144, 1363, 3232, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73149, 2332, 1220, 3217, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73188, 2099, 1359, 3274, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73227, 2078, 1345, 3298, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73266, 2169, 1312, 3270, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73305, 2188, 1307, 3317, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73341, 2121, 1366, 3311, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73378, 2102, 1367, 3323, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73414, 2106, 1298, 3375, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73451, 2114, 1329, 3317, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73488, 2157, 1325, 3287, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73524, 2148, 1278, 3313, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73561, 2146, 1294, 3335, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73598, 2145, 1367, 3312, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73634, 2148, 1293, 3311, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73671, 2252, 1274, 3270, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73708, 2260, 1303, 3223, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73748, 2238, 1308, 3250, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73789, 2254, 1336, 3257, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73830, 2245, 1311, 3220, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73871, 2254, 1351, 3255, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73912, 2237, 1322, 3226, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73953, 2223, 1438, 3195, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
73994, 2233, 1344, 3235, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74035, 2252, 1343, 3232, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74076, 2246, 1392, 3221, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74117, 2237, 1397, 3228, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
74155, 2221, 1344, 3239, 63, ab386931-231b-4cc4-b949-bcf2ec591642, , sujud, sujud, , 
