248791, 3561, 1264, 1738, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
248836, 3559, 1243, 1735, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
248881, 3558, 1243, 1719, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
248913, 3557, 1277, 1739, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
248945, 3563, 1238, 1723, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
248977, 3548, 1259, 1716, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249009, 3564, 1240, 1688, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249041, 3567, 1297, 1722, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249073, 3579, 1268, 1719, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249105, 3566, 1291, 1690, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249137, 3606, 1297, 1691, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249169, 3596, 1248, 1676, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249201, 3599, 1218, 1690, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249233, 3594, 1182, 1683, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249271, 3583, 1128, 1658, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249310, 3588, 1183, 1654, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249348, 3590, 1181, 1680, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249387, 3585, 1274, 1690, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249425, 3573, 1241, 1680, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249464, 3566, 1240, 1707, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249502, 3564, 1282, 1703, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
249541, 3562, 1244, 1679, 73, c3f82609-61b7-4881-a28b-b469b12f173c, , sujud, sujud, , 
