309743, 2153, 1098, 3367, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
309783, 2193, 1154, 3263, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
309823, 2240, 1110, 3358, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
309863, 2287, 1136, 3256, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
309903, 2347, 1134, 3207, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
309943, 2462, 1081, 3142, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
309982, 2536, 1098, 3073, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310021, 2372, 1200, 3155, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310060, 2410, 1249, 3106, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310100, 2524, 1181, 3094, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310139, 2525, 1122, 3095, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310178, 2506, 1159, 3124, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310218, 2533, 1172, 3106, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310257, 2577, 1116, 3060, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310296, 2576, 1095, 3058, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310336, 2608, 1135, 3069, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310371, 2578, 1117, 3056, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310406, 2601, 1133, 3069, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310442, 2563, 1115, 3060, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310477, 2581, 1125, 3049, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310512, 2572, 1078, 3089, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310548, 2583, 1096, 3049, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310583, 2567, 1091, 3081, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310618, 2588, 1030, 3096, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310654, 2564, 1049, 3057, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310689, 2581, 1083, 3072, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310725, 2591, 1067, 3071, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310765, 2554, 1064, 3086, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310806, 2552, 1077, 3104, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310847, 2567, 1084, 3077, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310888, 2525, 1079, 3059, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310929, 2572, 1080, 3068, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
310970, 2563, 1089, 3062, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311011, 2521, 1098, 3075, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311052, 2578, 1079, 3070, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311093, 2575, 1084, 3056, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311134, 2550, 1086, 3040, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311174, 2607, 1084, 3067, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311214, 2576, 1110, 3083, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311254, 2596, 1067, 3038, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311294, 2600, 1093, 3064, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311334, 2611, 1077, 3050, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311374, 2607, 1089, 3064, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311414, 2622, 1061, 3033, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311454, 2612, 1063, 3056, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311494, 2603, 1088, 3040, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311535, 2599, 1081, 3053, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311568, 2614, 1080, 3042, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311602, 2603, 1065, 3057, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311635, 2600, 1087, 2998, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311669, 2606, 1090, 3034, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
311703, 2625, 1100, 3022, 94, 15402bd7-df8b-440c-838d-9858d2e2eeed, , sujud, sujud, , 
