161323, 2407, 776, 3305, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161365, 2490, 777, 3248, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161407, 2449, 773, 3282, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161449, 2435, 805, 3253, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161491, 2479, 777, 3257, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161533, 2494, 810, 3216, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161575, 2576, 733, 3170, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161617, 2520, 807, 3206, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161660, 2529, 768, 3215, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161692, 2492, 762, 3244, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161725, 2552, 810, 3189, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161758, 2582, 746, 3148, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161791, 2606, 740, 3163, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161824, 2581, 764, 3159, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161856, 2582, 761, 3150, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161889, 2593, 727, 3174, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161922, 2593, 779, 3144, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161955, 2605, 752, 3169, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
161988, 2638, 746, 3159, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162021, 2632, 670, 3159, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162061, 2650, 703, 3140, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162101, 2658, 697, 3126, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162141, 2648, 674, 3115, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162181, 2648, 758, 3118, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162222, 2646, 696, 3120, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
162262, 2625, 730, 3135, 95, 115a4356-c008-4ea8-a41e-28039103a8e6, , sujud, sujud, , 
