96147, 3424, 1479, 1812, 117, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96189, 3461, 1526, 1742, 117, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96231, 3488, 1452, 1724, 117, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96273, 3452, 1410, 1724, 117, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96315, 3495, 1337, 1766, 117, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96357, 3490, 1442, 1750, 117, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96399, 3477, 1237, 1693, 117, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96437, 3525, 1300, 1682, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96475, 3559, 1370, 1679, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96513, 3503, 1435, 1741, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96551, 3547, 1196, 1789, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96589, 3488, 1372, 1830, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96627, 3496, 1275, 1973, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96665, 3477, 1303, 1697, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96703, 3565, 1498, 1510, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96741, 3579, 1428, 1476, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96780, 3653, 1352, 1656, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96817, 3369, 1616, 1828, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96855, 3340, 1449, 1892, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96893, 3420, 1403, 1898, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96930, 3409, 1387, 1897, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
96968, 3445, 1311, 1916, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97006, 3442, 1316, 1924, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97044, 3438, 1421, 1864, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97081, 3398, 1436, 1880, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97119, 3421, 1468, 1849, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97157, 3448, 1421, 1800, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97195, 3396, 1449, 1875, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
97233, 3421, 1458, 1839, 116, 5c652968-f95a-453f-8a14-117cab7e14ec, , sujud, sujud, , 
