83101, 2749, 1563, 2713, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83138, 2736, 1555, 2680, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83174, 2733, 1590, 2678, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83211, 2736, 1592, 2681, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83247, 2747, 1580, 2667, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83283, 2764, 1585, 2669, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83320, 2753, 1603, 2656, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83356, 2744, 1606, 2667, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83393, 2764, 1599, 2648, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83429, 2759, 1603, 2655, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83465, 2741, 1594, 2637, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83502, 2771, 1602, 2649, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83538, 2773, 1603, 2634, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83575, 2764, 1592, 2645, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83611, 2777, 1594, 2637, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83648, 2779, 1624, 2631, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83684, 2758, 1635, 2628, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83721, 2790, 1610, 2641, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83757, 2798, 1617, 2616, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83794, 2781, 1614, 2619, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83832, 2806, 1603, 2615, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83871, 2791, 1599, 2590, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83910, 2795, 1579, 2626, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83949, 2804, 1604, 2603, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
83988, 2790, 1621, 2607, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84027, 2824, 1627, 2614, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84066, 2780, 1592, 2600, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84105, 2792, 1602, 2617, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84144, 2813, 1596, 2596, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84183, 2814, 1583, 2589, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84220, 2839, 1594, 2601, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84257, 2846, 1588, 2580, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84294, 2825, 1585, 2573, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84331, 2860, 1594, 2571, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84368, 2845, 1573, 2551, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84405, 2863, 1589, 2552, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84442, 2859, 1589, 2546, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84479, 2875, 1592, 2526, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84516, 2883, 1603, 2536, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84553, 2846, 1610, 2535, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84591, 2865, 1621, 2541, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84636, 2870, 1617, 2526, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84681, 2874, 1598, 2525, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84726, 2874, 1618, 2543, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84771, 2890, 1607, 2541, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
84816, 2842, 1623, 2524, 95, 6937fd10-3c2b-4996-821a-96024d886f13, , sujud, sujud, , 
