290557, 2833, 1407, 2690, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290596, 2879, 1365, 2711, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290635, 2786, 1395, 2727, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290674, 2780, 1395, 2728, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290713, 2948, 1366, 2643, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290751, 2837, 1449, 2662, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290790, 2894, 1369, 2672, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290829, 2857, 1363, 2668, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290868, 2884, 1363, 2675, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290907, 2889, 1335, 2658, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290947, 2889, 1385, 2688, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
290988, 2909, 1396, 2603, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291029, 2892, 1359, 2642, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291070, 2865, 1387, 2670, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291111, 2835, 1395, 2689, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291152, 2865, 1373, 2697, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291193, 2834, 1403, 2697, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291234, 2844, 1389, 2730, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291275, 2804, 1369, 2727, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291316, 2810, 1383, 2713, 88, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291351, 2833, 1388, 2707, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291387, 2836, 1390, 2709, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291423, 2823, 1382, 2697, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291459, 2826, 1393, 2744, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291495, 2831, 1388, 2721, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291531, 2827, 1379, 2700, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291567, 2814, 1362, 2709, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291603, 2814, 1394, 2724, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291639, 2823, 1404, 2713, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291675, 2827, 1392, 2705, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291711, 2829, 1394, 2711, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291750, 2811, 1409, 2715, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291790, 2827, 1399, 2720, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291830, 2823, 1379, 2716, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291869, 2836, 1381, 2714, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291909, 2824, 1390, 2707, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291949, 2833, 1379, 2719, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
291988, 2804, 1393, 2698, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292028, 2837, 1400, 2729, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292068, 2815, 1393, 2703, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292108, 2838, 1394, 2691, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292146, 2821, 1401, 2704, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292184, 2814, 1379, 2718, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292222, 2814, 1403, 2725, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292260, 2828, 1384, 2713, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292298, 2814, 1398, 2711, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292336, 2817, 1411, 2723, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292374, 2799, 1394, 2704, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292412, 2802, 1417, 2722, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
292450, 2836, 1415, 2712, 87, a4e7286c-8129-4e8f-b4c6-0f56a0f73df8, , sujud, sujud, , 
