172746, 1616, 2374, 3018, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
172785, 1672, 2276, 3059, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
172824, 1641, 2358, 3027, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
172865, 1687, 2388, 2991, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
172907, 1738, 2327, 3057, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
172949, 1746, 2372, 2938, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
172991, 1738, 2366, 2961, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173033, 1718, 2421, 2962, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173074, 1967, 2303, 2818, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173116, 2037, 2428, 2652, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173158, 2309, 2195, 3025, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173200, 1991, 2107, 3535, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173242, 2265, 1817, 2433, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173273, 2414, 2160, 2625, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173304, 2093, 1640, 2862, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173336, 1836, 1920, 2926, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173367, 2416, 2219, 3057, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173398, 2519, 1615, 3303, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173430, 2357, 1910, 2934, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173461, 2370, 1630, 2742, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173492, 2312, 1886, 2809, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
173524, 2172, 1699, 2445, 76, 6f7accf8-cd31-4c1d-ba41-60e5948b3a12, , sujud, sujud, , 
