277667, 1482, 1727, 3514, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
277708, 1518, 1732, 3516, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
277748, 1583, 1620, 3488, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
277789, 1602, 1609, 3491, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
277830, 1637, 1534, 3496, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
277871, 1560, 1602, 3509, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
277912, 1616, 1626, 3455, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
277952, 1659, 1630, 3427, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
277993, 1688, 1607, 3438, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278034, 1701, 1606, 3444, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278075, 1659, 1579, 3442, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278116, 1696, 1551, 3453, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278152, 1668, 1615, 3441, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278188, 1722, 1587, 3412, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278225, 1725, 1548, 3453, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278261, 1691, 1775, 3453, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278298, 1839, 1462, 3431, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278334, 1673, 1532, 3483, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278371, 1694, 1549, 3461, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278407, 1695, 1529, 3476, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278444, 1679, 1522, 3473, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278480, 1642, 1539, 3502, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, , 
278517, 1676, 1490, 3490, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278554, 1841, 1778, 3502, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278591, 1422, 1413, 3623, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278628, 1729, 1848, 4025, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278665, 1991, 1321, 3544, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278702, 713, 2144, 4809, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278739, 678, 2423, 3790, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278776, 791, 2834, 2811, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278813, 926, 2463, 1405, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278850, 1045, 2708, -72, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278887, 1093, 3294, -1182, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278923, 1278, 3272, -2506, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278960, 875, 3152, -1777, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
278997, 915, 3404, -2339, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279033, 1007, 3038, -2782, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279070, 952, 3054, -2823, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279107, 902, 2885, -2985, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279144, 794, 2720, -3033, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279180, 870, 2729, -3007, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279217, 810, 2661, -2861, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279254, 846, 2831, -2959, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279291, 800, 2991, -2972, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279334, 876, 2920, -2952, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279378, 924, 2535, -2650, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279422, 898, 2627, -2530, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279465, 939, 2760, -2677, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279509, 1084, 2975, -2852, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279553, 1013, 3017, -2779, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279596, 884, 2926, -2611, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279640, 899, 2978, -2734, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279684, 872, 2858, -3042, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279728, 890, 2787, -3179, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279765, 895, 2667, -2958, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279803, 857, 2572, -2909, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
279841, 886, 2645, -2856, 86, b7739771-0ac1-422d-a1eb-6bbb657f6e08, , sujud, sujud, menggaruk, 
