215837, 3072, 1912, 1970, 106, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
215875, 3069, 1857, 2021, 106, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
215914, 3124, 1881, 1992, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
215953, 3149, 1840, 2054, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
215992, 3059, 1928, 2026, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216032, 3142, 1875, 1973, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216071, 3108, 1918, 1939, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216110, 3164, 1892, 1921, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216150, 3151, 1964, 1903, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216189, 3144, 1930, 1862, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216228, 3141, 1965, 1874, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216268, 3138, 1993, 1860, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216303, 3126, 2041, 1844, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216338, 3138, 1990, 1870, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216373, 3106, 2023, 1868, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216408, 3143, 1999, 1865, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216443, 3131, 1984, 1850, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216478, 3153, 1934, 1858, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216513, 3143, 1943, 1827, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216548, 3157, 1944, 1841, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216583, 3135, 2032, 1805, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216618, 3151, 1999, 1783, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216654, 3147, 2029, 1776, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216699, 3174, 2027, 1738, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216744, 3158, 2015, 1733, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216789, 3186, 1999, 1710, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216834, 3202, 2044, 1792, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216879, 3185, 2017, 1720, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216924, 3206, 2003, 1705, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
216969, 3178, 1998, 1703, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217014, 3204, 2028, 1724, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217059, 3171, 2046, 1716, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217105, 3193, 2064, 1732, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217139, 3167, 2046, 1714, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217174, 3151, 2061, 1741, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217208, 3154, 2039, 1754, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217243, 3183, 2036, 1752, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217278, 3168, 2009, 1734, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217312, 3194, 2006, 1736, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217347, 3158, 2011, 1763, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217381, 3186, 2053, 1743, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217416, 3188, 1987, 1777, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217451, 3171, 1979, 1753, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217487, 3123, 1977, 1877, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217524, 3126, 1995, 1789, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217561, 3101, 2037, 1892, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
217598, 3076, 2014, 1908, 105, fac577d3-dc4b-4495-bb53-4daac8a6dedb, , sujud, sujud, , 
