141766, 2655, 2050, 2381, 85, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
141803, 2735, 1968, 2390, 85, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
141840, 2726, 2088, 2327, 85, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
141877, 2740, 2101, 2287, 85, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
141915, 2700, 2201, 2250, 85, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
141952, 2852, 2054, 2221, 85, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
141989, 2800, 2110, 2256, 85, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142027, 2830, 2067, 2240, 85, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142070, 2775, 2107, 2219, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142114, 2840, 2083, 2194, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142157, 2895, 2047, 2173, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142201, 2900, 2061, 2184, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142245, 2868, 2109, 2145, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142288, 2886, 2071, 2156, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142332, 2891, 2076, 2131, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142375, 2901, 2040, 2120, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142419, 2941, 2028, 2109, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142463, 2959, 1989, 2114, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142498, 2921, 2056, 2082, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142533, 2957, 2066, 2102, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142568, 2945, 2060, 2076, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142604, 2965, 2063, 2091, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142639, 2908, 2112, 2085, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142674, 2895, 2091, 2080, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142710, 2915, 2075, 2086, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142745, 2879, 2093, 2072, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142780, 2898, 2096, 2098, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142816, 2865, 2119, 2084, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142855, 2891, 2092, 2113, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142894, 2881, 2113, 2122, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142934, 2884, 2093, 2109, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
142973, 2899, 2095, 2102, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143012, 2888, 2067, 2098, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143052, 2907, 2065, 2115, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143091, 2900, 2087, 2123, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143130, 2875, 2083, 2104, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143170, 2898, 2081, 2117, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143209, 2916, 2071, 2134, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143249, 2918, 2075, 2116, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143285, 2889, 2056, 2128, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143321, 2887, 2085, 2110, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143358, 2902, 2087, 2113, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143394, 2886, 2083, 2119, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143431, 2901, 2082, 2118, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143467, 2900, 2082, 2127, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143503, 2891, 2087, 2102, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143540, 2904, 2060, 2121, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143576, 2897, 2068, 2120, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143613, 2904, 2059, 2128, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
143653, 2894, 2089, 2127, 86, fe218d92-28b8-43e2-86c4-ade9bc7f3cc2, , sujud, sujud, , 
