128344, 2751, 1317, 2814, 98, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128386, 2793, 1270, 2805, 98, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128428, 2786, 1215, 2807, 98, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128464, 2801, 1256, 2803, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128500, 2828, 1212, 2787, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128537, 2796, 1270, 2766, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128573, 2786, 1253, 2766, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128610, 2839, 1220, 2732, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128646, 2829, 1217, 2812, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128683, 2820, 1244, 2777, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128719, 2864, 1253, 2769, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128756, 2847, 1234, 2783, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128792, 2878, 1208, 2774, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128829, 2865, 1236, 2806, 99, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128870, 2854, 1172, 2800, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128912, 2838, 1262, 2752, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128953, 2871, 1154, 2794, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
128995, 2864, 1183, 2765, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129037, 2812, 1227, 2789, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129078, 2900, 1129, 2799, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129120, 2885, 1147, 2842, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129161, 2859, 1081, 2848, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129203, 2758, 1136, 2822, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129245, 2704, 1212, 2813, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129276, 2744, 1139, 2835, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129308, 2751, 1165, 2783, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129340, 2781, 1232, 2789, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129371, 2870, 1233, 2789, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129403, 2794, 1209, 2792, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129435, 2828, 1239, 2795, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129467, 2875, 1224, 2777, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129498, 2839, 1224, 2769, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129530, 2840, 1251, 2774, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129562, 2821, 1265, 2784, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129594, 2840, 1221, 2775, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129635, 2831, 1265, 2802, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129677, 2817, 1243, 2783, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129719, 2848, 1248, 2781, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129760, 2815, 1242, 2767, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129802, 2802, 1245, 2775, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129844, 2796, 1237, 2793, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129885, 2838, 1233, 2765, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129927, 2826, 1242, 2781, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
129969, 2852, 1211, 2769, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130011, 2853, 1229, 2746, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130049, 2844, 1237, 2778, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130088, 2842, 1252, 2777, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130127, 2838, 1230, 2769, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130166, 2862, 1217, 2774, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130205, 2849, 1229, 2760, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130243, 2846, 1240, 2772, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130282, 2839, 1225, 2773, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130321, 2828, 1242, 2758, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130360, 2852, 1214, 2745, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130399, 2847, 1247, 2757, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130436, 2835, 1244, 2757, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130473, 2854, 1229, 2755, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130511, 2846, 1246, 2760, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130548, 2842, 1246, 2751, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130585, 2857, 1262, 2768, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130623, 2838, 1241, 2745, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130660, 2846, 1250, 2778, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130697, 2824, 1256, 2778, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130735, 2843, 1255, 2753, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130772, 2840, 1274, 2753, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130810, 2847, 1259, 2765, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130850, 2822, 1241, 2750, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130890, 2832, 1260, 2757, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
130931, 2831, 1270, 2769, 100, bac26c36-4baf-4881-905e-7a1333e786ca, , sujud, sujud, , 
