344856, 3661, 1014, 1664, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
344896, 3660, 996, 1674, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
344936, 3658, 959, 1692, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
344976, 3659, 952, 1719, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345016, 3656, 992, 1720, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345056, 3646, 967, 1682, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345096, 3668, 982, 1711, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345136, 3640, 934, 1725, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345176, 3664, 989, 1702, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345216, 3653, 965, 1705, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345257, 3662, 981, 1698, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345300, 3661, 953, 1691, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345343, 3670, 977, 1689, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345386, 3668, 956, 1681, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345430, 3672, 943, 1665, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345473, 3688, 974, 1682, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345516, 3667, 991, 1718, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345560, 3664, 989, 1698, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345603, 3660, 971, 1688, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345646, 3670, 950, 1706, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345690, 3661, 978, 1679, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345721, 3664, 987, 1683, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345752, 3664, 960, 1698, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345783, 3675, 957, 1684, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345815, 3661, 965, 1685, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345846, 3672, 955, 1707, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345877, 3650, 975, 1673, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345908, 3673, 965, 1707, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345940, 3725, 886, 1686, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
345971, 3693, 967, 1627, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346002, 3690, 1035, 1583, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346034, 3701, 893, 1687, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346074, 3697, 1018, 1575, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346115, 3650, 802, 1577, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346155, 3756, 884, 1590, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346196, 3723, 901, 1570, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346236, 3736, 890, 1519, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346277, 3755, 886, 1601, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346317, 3726, 886, 1597, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346358, 3706, 914, 1619, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346398, 3754, 870, 1577, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346439, 3754, 824, 1595, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346477, 3756, 930, 1644, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346515, 3733, 866, 1585, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346554, 3735, 898, 1578, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346592, 3754, 843, 1626, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346631, 3707, 848, 1594, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346669, 3731, 741, 1607, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346707, 3737, 899, 1558, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346746, 3761, 769, 1702, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346784, 3722, 793, 1600, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346823, 3758, 835, 1590, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346861, 3751, 853, 1615, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346900, 3764, 861, 1601, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346939, 3748, 851, 1597, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
346978, 3752, 855, 1575, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
347017, 3729, 711, 1619, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
347056, 3790, 915, 1582, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
347095, 3748, 878, 1615, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
347134, 3721, 817, 1585, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
347173, 3735, 914, 1571, 82, 907e8d95-41af-4f43-b628-01d1094af403, , sujud, sujud, , 
