57022, 2703, 1551, 2805, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57066, 2777, 1458, 2798, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57110, 2711, 1495, 2749, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57155, 2723, 1412, 2764, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57199, 2722, 1448, 2756, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57244, 2691, 1541, 2730, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57276, 2811, 1505, 2720, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57308, 2818, 1475, 2716, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57340, 2802, 1493, 2716, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57372, 2835, 1434, 2714, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57404, 2806, 1449, 2704, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57436, 2824, 1423, 2691, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57468, 2803, 1467, 2688, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57500, 2827, 1460, 2680, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57532, 2825, 1445, 2673, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57564, 2701, 1597, 2691, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57596, 2805, 1512, 2646, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57640, 2765, 1501, 2669, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57685, 2740, 1520, 2687, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57730, 2779, 1469, 2681, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57775, 2795, 1468, 2688, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
57820, 2767, 1549, 2685, 77, 2b7e0772-6295-423d-ada2-b1219ce47da2, , sujud, sujud, , 
