414518, 3359, 1240, 2057, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414561, 3362, 1212, 2094, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414605, 3411, 1179, 2075, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414648, 3389, 1199, 2063, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414692, 3387, 1154, 2068, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414735, 3392, 1185, 2074, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414779, 3397, 1172, 2071, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414822, 3411, 1148, 2053, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414866, 3374, 1183, 2080, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414900, 3397, 1172, 2082, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414934, 3393, 1157, 2072, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
414968, 3384, 1173, 2066, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415002, 3404, 1156, 2077, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415036, 3401, 1223, 2054, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415070, 3411, 1151, 2070, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415104, 3429, 1203, 2066, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415138, 3407, 1162, 2057, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415172, 3393, 1171, 2065, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415206, 3416, 1175, 2046, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415240, 3383, 1164, 2071, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415277, 3401, 1174, 2070, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415315, 3405, 1173, 2070, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415353, 3406, 1165, 2055, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415390, 3405, 1190, 2078, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415428, 3392, 1176, 2049, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415466, 3411, 1153, 2083, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415503, 3404, 1183, 2069, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415541, 3409, 1168, 2067, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415579, 3412, 1183, 2054, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415617, 3415, 1181, 2044, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415660, 3414, 1193, 2062, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415703, 3381, 1207, 2053, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415746, 3400, 1188, 2070, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415789, 3396, 1183, 2067, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
415833, 3378, 1207, 2069, 81, eb50ef7d-74f9-4402-8f14-478bbbedbe55, , sujud, sujud, , 
