458639, 3272, 1742, 1841, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458677, 3236, 1795, 1855, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458715, 3307, 1746, 1835, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458752, 3284, 1728, 1850, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458790, 3314, 1688, 1802, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458828, 3288, 1762, 1847, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458866, 3306, 1658, 1827, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458904, 3327, 1689, 1784, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458942, 3349, 1672, 1804, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
458976, 3344, 1664, 1759, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459011, 3340, 1687, 1764, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459045, 3363, 1705, 1808, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459080, 3345, 1671, 1756, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459115, 3391, 1641, 1792, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459149, 3393, 1611, 1755, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459184, 3415, 1575, 1760, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459218, 3421, 1601, 1747, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459253, 3406, 1589, 1761, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459288, 3414, 1609, 1786, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459328, 3395, 1571, 1745, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459369, 3403, 1644, 1748, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459409, 3412, 1569, 1716, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459450, 3405, 1603, 1745, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459490, 3410, 1562, 1721, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459531, 3427, 1613, 1746, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459571, 3435, 1580, 1694, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459612, 3436, 1640, 1747, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459652, 3417, 1607, 1698, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459693, 3433, 1648, 1718, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459729, 3394, 1622, 1693, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459765, 3418, 1605, 1713, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459801, 3428, 1592, 1706, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459838, 3422, 1571, 1706, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
459874, 3434, 1611, 1721, 76, 7e5d68c7-a276-496f-af74-7a34dac70dd6, , sujud, sujud, , 
