60313, 3477, 1727, 1219, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60348, 3572, 1804, 1301, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60383, 3511, 1809, 1233, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60418, 3559, 1791, 1297, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60453, 3482, 1736, 1237, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60488, 3568, 1788, 1234, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60523, 3568, 1778, 1182, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60557, 3529, 1822, 1210, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60592, 3560, 1759, 1131, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60627, 3603, 1835, 1058, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60661, 3584, 1800, 960, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60696, 3619, 1827, 898, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60731, 3577, 1851, 871, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60766, 3624, 1895, 858, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60800, 3625, 1853, 822, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60835, 3597, 1893, 859, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60870, 3607, 1837, 861, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60905, 3607, 1878, 911, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60951, 3608, 1824, 878, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
60998, 3613, 1812, 912, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61045, 3607, 1795, 898, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61092, 3632, 1812, 887, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61139, 3604, 1878, 894, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61186, 3620, 1867, 875, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61233, 3619, 1860, 898, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61280, 3635, 1835, 906, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61327, 3592, 1817, 889, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61374, 3620, 1804, 891, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
61406, 3617, 1816, 892, 73, d2e1a7c9-4a19-4fa3-bcf9-8e278199e9ba, , sujud, sujud, , 
