181825, 3322, 2428, 405, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
181867, 3378, 2336, 381, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
181909, 3395, 2298, 389, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
181951, 3402, 2287, 383, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
181993, 3408, 2289, 425, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182027, 3399, 2365, 412, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182062, 3403, 2301, 433, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182097, 3379, 2351, 454, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182132, 3355, 2344, 426, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182166, 3366, 2370, 428, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182201, 3345, 2339, 415, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182236, 3357, 2390, 431, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182271, 3353, 2384, 431, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182305, 3342, 2353, 406, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182340, 3375, 2353, 408, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182375, 3347, 2375, 392, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182410, 3366, 2413, 385, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182445, 3352, 2379, 407, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182485, 3344, 2365, 392, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182526, 3357, 2391, 391, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182567, 3359, 2386, 412, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182608, 3357, 2376, 401, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182648, 3367, 2374, 400, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182689, 3337, 2359, 397, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182730, 3354, 2378, 429, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182771, 3363, 2367, 434, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182811, 3351, 2379, 410, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182852, 3356, 2322, 367, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182893, 3353, 2395, 410, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182934, 3346, 2400, 411, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
182975, 3337, 2382, 384, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183010, 3357, 2392, 406, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183045, 3365, 2356, 392, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183080, 3334, 2415, 388, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183115, 3353, 2362, 413, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183150, 3350, 2372, 389, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183185, 3356, 2400, 410, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183220, 3347, 2403, 411, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183255, 3330, 2399, 401, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183290, 3313, 2379, 407, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183325, 3357, 2374, 394, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183360, 3334, 2405, 429, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183395, 3348, 2372, 405, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183431, 3331, 2409, 428, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
183470, 3351, 2394, 422, 92, 04d9418f-a3c4-4c10-9acf-c9b899d85d84, , sujud, sujud, , 
