171789, 3521, 2090, 573, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
171828, 3496, 2153, 562, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
171866, 3487, 2173, 563, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
171904, 3498, 2146, 544, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
171943, 3501, 2122, 539, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
171980, 3504, 2144, 547, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172018, 3396, 2269, 605, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172055, 3347, 2304, 676, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172093, 3269, 2335, 679, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172131, 3203, 2394, 759, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172168, 3252, 2416, 796, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172206, 3226, 2406, 785, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172243, 3151, 2535, 803, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172281, 3336, 2307, 837, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172319, 3278, 2415, 772, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172356, 3286, 2329, 756, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172394, 3290, 2381, 773, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172432, 3257, 2374, 750, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172470, 3304, 2422, 730, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172508, 3312, 2398, 775, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172546, 3305, 2382, 774, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172584, 3323, 2371, 791, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172623, 3287, 2333, 776, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172661, 3301, 2376, 796, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172699, 3278, 2332, 794, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172737, 3276, 2362, 810, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172776, 3340, 2339, 810, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172814, 3336, 2338, 768, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172852, 3321, 2339, 787, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172890, 3320, 2377, 765, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172929, 3332, 2327, 775, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
172968, 3310, 2369, 775, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173007, 3316, 2318, 763, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173046, 3305, 2349, 752, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173085, 3290, 2368, 792, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173124, 3311, 2334, 778, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173163, 3306, 2301, 771, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173203, 3311, 2369, 789, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173242, 3316, 2358, 792, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173281, 3322, 2309, 782, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173320, 3311, 2315, 767, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173359, 3296, 2324, 793, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173398, 3322, 2366, 797, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173438, 3304, 2355, 800, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173476, 3327, 2347, 792, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173514, 3313, 2351, 769, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173552, 3313, 2342, 779, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173590, 3342, 2357, 812, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173628, 3338, 2330, 788, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173666, 3290, 2370, 775, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173704, 3327, 2370, 783, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173742, 3288, 2381, 785, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173780, 3247, 2376, 819, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173818, 3267, 2394, 826, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173856, 3239, 2415, 861, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173894, 3253, 2384, 871, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173932, 3262, 2415, 864, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
173970, 3267, 2417, 864, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174009, 3239, 2430, 862, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174048, 3237, 2390, 825, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174087, 3254, 2435, 843, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174126, 3241, 2397, 829, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174165, 3246, 2386, 844, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174204, 3249, 2413, 849, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174243, 3251, 2390, 875, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174282, 3267, 2390, 859, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174321, 3277, 2374, 836, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174360, 3242, 2427, 850, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174399, 3243, 2406, 826, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174438, 3228, 2465, 858, 88, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
174476, 3244, 2319, 852, 89, 69c75b11-675b-49d2-aa1d-ea0015911fef, , sujud, sujud, , 
