225586, 1894, 2146, 3014, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225625, 1909, 2172, 2985, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225664, 1970, 2048, 3027, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225703, 1858, 2481, 2914, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225742, 1826, 2372, 2880, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225781, 1866, 2404, 2852, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225820, 1829, 2361, 2907, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225859, 1991, 2281, 2862, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225898, 1997, 2212, 2907, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225937, 1988, 2204, 2865, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
225976, 2036, 2215, 2866, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226015, 2051, 2151, 2876, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226054, 2046, 2214, 2852, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226093, 2061, 2145, 2883, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226133, 1978, 2278, 2846, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226172, 2003, 2233, 2949, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226211, 2087, 2180, 2886, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226251, 2093, 2149, 2835, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226290, 2101, 2183, 2837, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226329, 2005, 2148, 2900, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226369, 2052, 2139, 2883, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226405, 2082, 2156, 2955, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226442, 2140, 2156, 2885, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226478, 2173, 2499, 2780, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226515, 2117, 2340, 3039, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226552, 2047, 2635, 3430, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226588, 2216, 2433, 2434, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226625, 1833, 1777, 3147, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226662, 1395, 2094, 3017, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226698, 2274, 1885, 2164, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226735, 2512, 2061, 3365, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226772, 2436, 1985, 2805, 84, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226810, 2199, 2088, 2850, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226849, 2227, 2021, 2789, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226888, 2304, 2087, 2796, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226927, 2271, 2106, 2845, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
226966, 2287, 2019, 2810, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227005, 2224, 2119, 2756, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227044, 2249, 2042, 2802, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227083, 2272, 2066, 2787, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227122, 2265, 2077, 2793, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227161, 2264, 2065, 2800, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227199, 2251, 2077, 2809, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227238, 2247, 2075, 2790, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227276, 2262, 2096, 2777, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227315, 2222, 2112, 2818, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227354, 2229, 2123, 2794, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227392, 2229, 2118, 2793, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227431, 2233, 2106, 2830, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227470, 2224, 2091, 2805, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227508, 2189, 2134, 2785, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227547, 2212, 2140, 2775, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227586, 2212, 2129, 2785, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227624, 2205, 2126, 2791, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227663, 2190, 2133, 2777, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227701, 2194, 2164, 2794, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227740, 2202, 2167, 2787, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227778, 2174, 2178, 2774, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227817, 2187, 2160, 2788, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227855, 2190, 2160, 2807, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227894, 2142, 2166, 2787, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227932, 2170, 2194, 2778, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
227971, 2143, 2208, 2789, 83, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228010, 2148, 2216, 2789, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228049, 2128, 2194, 2768, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228088, 2139, 2194, 2798, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228127, 2152, 2213, 2777, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228166, 2153, 2208, 2779, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228205, 2141, 2199, 2778, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228244, 2148, 2212, 2775, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228283, 2155, 2217, 2784, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228322, 2114, 2196, 2765, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228361, 2144, 2219, 2779, 85, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228403, 2134, 2213, 2759, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228445, 2166, 2208, 2768, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228488, 2125, 2226, 2772, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228530, 2124, 2199, 2786, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228572, 2131, 2238, 2762, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228615, 2138, 2184, 2767, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228657, 2161, 2268, 2768, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228699, 2147, 2221, 2779, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228742, 2128, 2245, 2787, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228784, 2114, 2236, 2785, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228827, 2085, 2281, 2774, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228861, 2097, 2257, 2777, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
228895, 2104, 2243, 2776, 86, f2d058a4-fa43-483e-8e1a-99e27c212dfc, , sujud, sujud, , 
