137511, 3501, 1600, 1541, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137548, 3505, 1587, 1543, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137585, 3497, 1626, 1520, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137622, 3512, 1574, 1544, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137659, 3521, 1572, 1519, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137696, 3532, 1566, 1530, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137733, 3500, 1557, 1534, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137770, 3528, 1583, 1524, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137807, 3529, 1582, 1537, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137853, 3497, 1593, 1527, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137899, 3521, 1607, 1495, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137946, 3500, 1601, 1504, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
137992, 3504, 1624, 1492, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138039, 3511, 1600, 1516, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138085, 3497, 1607, 1509, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138131, 3488, 1599, 1513, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138178, 3517, 1614, 1516, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138224, 3538, 1620, 1503, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138271, 3501, 1599, 1491, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138307, 3519, 1656, 1479, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138343, 3504, 1667, 1490, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138379, 3492, 1661, 1479, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138416, 3502, 1668, 1472, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138452, 3504, 1645, 1477, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138488, 3505, 1641, 1502, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138525, 3486, 1666, 1493, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138561, 3491, 1626, 1501, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138597, 3497, 1645, 1508, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138634, 3483, 1640, 1507, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138667, 3474, 1624, 1505, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138701, 3496, 1622, 1505, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138735, 3514, 1616, 1506, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138769, 3488, 1640, 1475, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138803, 3516, 1636, 1462, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138836, 3494, 1675, 1458, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138870, 3512, 1663, 1476, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138904, 3499, 1655, 1471, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138938, 3463, 1693, 1495, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
138972, 3482, 1653, 1494, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139006, 3488, 1666, 1520, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139045, 3488, 1652, 1508, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139084, 3496, 1658, 1495, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139123, 3506, 1662, 1477, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139162, 3489, 1652, 1474, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139201, 3486, 1654, 1475, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139240, 3500, 1661, 1502, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
139279, 3476, 1644, 1492, 89, 7d80906d-6674-40ec-a333-2ef29df9f069, , sujud, sujud, , 
