155781, 2980, 2613, 1235, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
155818, 2927, 2610, 1187, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
155855, 2998, 2603, 1175, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
155892, 2997, 2612, 1142, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
155929, 2991, 2644, 1176, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
155966, 2976, 2604, 1189, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156003, 2961, 2596, 1195, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156040, 2998, 2575, 1218, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156080, 3021, 2570, 1239, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156120, 3031, 2533, 1200, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156160, 3032, 2521, 1175, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156201, 3036, 2501, 1143, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156241, 3043, 2543, 1117, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156281, 3050, 2567, 1076, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156322, 3048, 2570, 1065, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156362, 3071, 2588, 1068, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
156402, 3061, 2592, 1056, 75, 373f4bf6-5b56-430c-8288-c6bb0a5facaf, , sujud, sujud, , 
